name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bailey, Hamilton",Fr.,2010-11,G,6-4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Barnes, Levi",Fr.,2010-11,C,6-10,4,0,1,0.000,0,1,0.000,0,0,-,0,-,0,-,2,0.500,0,-,0,-,0
"Bedwell, Josh",Sr.,2010-11,G,6-0,31,76,165,0.461,51,118,0.432,55,61,0.902,79,2.548,54,1.742,1,0.032,24,0.774,258,8.323,39
"Bermudez, Gaby",Sr.,2010-11,G,6-4,30,30,73,0.411,8,28,0.286,14,25,0.560,32,1.067,57,1.900,0,-,18,0.600,82,2.733,52
"Cook, Will",Fr.,2010-11,G,6-4,24,20,51,0.392,7,28,0.250,7,12,0.583,30,1.250,5,0.208,2,0.083,4,0.167,54,2.250,14
"Davis, Josh",Sr.,2010-11,F,6-4,31,72,194,0.371,46,148,0.311,43,47,0.915,94,3.032,28,0.903,2,0.065,25,0.806,233,7.516,38
"Friday, Matthew",Jr.,2010-11,C,6-8,22,10,19,0.526,0,4,0.000,5,13,0.385,17,0.773,10,0.455,2,0.091,4,0.182,25,1.136,12
"Hood, Tyler",Fr.,2010-11,F,6-6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Johnson, Kaylin",Jr.,2010-11,G,6-0,31,42,118,0.356,19,71,0.268,27,40,0.675,60,1.935,28,0.903,2,0.065,13,0.419,130,4.194,37
"King, Andy",Sr.,2010-11,C,6-8,31,66,145,0.455,46,109,0.422,27,33,0.818,70,2.258,66,2.129,6,0.194,14,0.452,205,6.613,32
"Merritt, Jeffrey",Jr.,2010-11,G,6-7,31,118,251,0.470,26,77,0.338,58,107,0.542,194,6.258,61,1.968,11,0.355,37,1.194,320,10.323,62
"Peterson, John",Jr.,2010-11,F,6-7,31,46,101,0.455,24,59,0.407,37,47,0.787,69,2.226,17,0.548,1,0.032,10,0.323,153,4.935,24
"Windler, Drew",Fr.,2010-11,C,6-9,31,67,152,0.441,35,85,0.412,24,35,0.686,58,1.871,38,1.226,20,0.645,12,0.387,193,6.226,40
"Wooten, Gregg",So.,2010-11,G,6-2,30,80,194,0.412,13,48,0.271,54,100,0.540,51,1.700,45,1.500,0,-,21,0.700,227,7.567,64
