name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Blackmon, Preston",So.,2010-11,G,6-0,30,141,360,0.392,37,131,0.282,55,66,0.833,59,1.967,123,4.100,4,0.133,39,1.300,374,12.467,81
"Conner, Richard",So.,2010-11,G,6-4,14,5,15,0.333,1,4,0.250,0,2,0.000,19,1.357,4,0.286,0,-,0,-,11,0.786,10
"Davis, Angelo",Fr.,2010-11,G,6-1,3,3,5,0.600,0,0,-,6,8,0.750,4,1.333,1,0.333,0,-,1,0.333,12,4.000,0
"Edwards, Keith",Fr.,2010-11,F,6-5,9,4,8,0.500,0,0,-,2,7,0.286,16,1.778,3,0.333,1,0.111,4,0.444,10,1.111,6
"Hassan, Rashad",Jr.,2010-11,F,6-7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jones, Darnel",So.,2010-11,G,6-1,28,9,33,0.273,2,12,0.167,8,21,0.381,20,0.714,20,0.714,1,0.036,13,0.464,28,1.000,27
"Louis, Arnold",Jr.,2010-11,F,6-7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Montgomery, Joshua",So.,2010-11,F,6-4,30,106,257,0.412,37,117,0.316,60,82,0.732,166,5.533,23,0.767,6,0.200,32,1.067,309,10.300,54
"Paul, Robert",Fr.,2010-11,G,5-11,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Paulk, David",Fr.,2010-11,F,6-5,5,1,3,0.333,0,0,-,0,0,-,11,2.200,0,-,0,-,1,0.200,2,0.400,1
"Richards, Keierre",Fr.,2010-11,G,6-1,27,31,84,0.369,4,14,0.286,22,34,0.647,48,1.778,21,0.778,0,-,14,0.519,88,3.259,40
"Shuler, Jovonni",Sr.,2010-11,G,6-4,30,173,433,0.400,77,220,0.350,120,163,0.736,153,5.100,59,1.967,11,0.367,40,1.333,543,18.100,80
"Smith, Cedric",So.,2010-11,G,6-3,30,62,135,0.459,2,16,0.125,43,77,0.558,75,2.500,31,1.033,0,-,34,1.133,169,5.633,36
"Smith, Jyles",Fr.,2010-11,F,6-8,30,54,110,0.491,0,2,0.000,28,58,0.483,217,7.233,18,0.600,73,2.433,22,0.733,136,4.533,47
"Spears, Christopher",Fr.,2010-11,F,6-7,30,31,65,0.477,1,1,1.000,10,22,0.455,77,2.567,2,0.067,9,0.300,7,0.233,73,2.433,31
"Wilson, Stephen",Fr.,2010-11,G,6-1,26,20,54,0.370,5,17,0.294,18,23,0.783,18,0.692,11,0.423,0,-,10,0.385,63,2.423,15
