name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Cooke, Malik",Jr.,2010-11,F,6-6,30,99,221,0.448,14,47,0.298,71,89,0.798,191,6.367,21,0.700,16,0.533,44,1.467,283,9.433,48
"Ellington, Bruce",Fr.,2010-11,G,5-9,30,138,423,0.326,61,198,0.308,47,74,0.635,100,3.333,97,3.233,0,-,31,1.033,384,12.800,87
"Galloway, Ramon",So.,2010-11,G,6-2,30,112,313,0.358,44,133,0.331,54,77,0.701,77,2.567,50,1.667,3,0.100,34,1.133,322,10.733,62
"Geathers, Carlton",Fr.,2010-11,F,6-10,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Harris, Damontre",Fr.,2010-11,F,6-9,29,47,82,0.573,0,2,0.000,13,22,0.591,104,3.586,13,0.448,26,0.897,14,0.483,107,3.690,21
"Holloway, Murphy",Jr.,2010-11,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jackson, Lakeem",So.,2010-11,F,6-5,26,87,182,0.478,3,10,0.300,26,62,0.419,146,5.615,66,2.538,5,0.192,24,0.923,203,7.808,46
"Jefferson, Johndre",Sr.,2010-11,F,6-9,23,18,28,0.643,0,0,-,4,8,0.500,38,1.652,5,0.217,20,0.870,6,0.261,40,1.739,9
"Muldrow, Sam",Sr.,2010-11,F,6-9,30,130,311,0.418,23,78,0.295,59,82,0.720,218,7.267,12,0.400,103,3.433,17,0.567,342,11.400,49
"Richardson, Brian",Fr.,2010-11,G,6-4,30,53,158,0.335,41,122,0.336,30,44,0.682,48,1.600,16,0.533,6,0.200,20,0.667,177,5.900,29
"Slawson, Rj",Fr.,2010-11,F,6-8,28,24,58,0.414,6,19,0.316,9,11,0.818,59,2.107,4,0.143,5,0.179,7,0.250,63,2.250,14
"Smith, Eric",Fr.,2010-11,G,5-11,28,20,66,0.303,8,35,0.229,20,32,0.625,22,0.786,42,1.500,0,-,6,0.214,68,2.429,25
"Spinella, Stephen",So.,2010-11,G,6-4,15,13,36,0.361,7,18,0.389,5,9,0.556,21,1.400,1,0.067,2,0.133,5,0.333,38,2.533,8
