name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Barnes, Denzel",Sr.,2010-11,G,5-7,17,43,113,0.381,17,55,0.309,16,24,0.667,25,1.471,64,3.765,1,0.059,30,1.765,119,7.000,34
"Bostic, Antonio",So.,2010-11,G,6-2,29,77,190,0.405,17,51,0.333,17,20,0.850,48,1.655,43,1.483,2,0.069,20,0.690,188,6.483,44
"Cutler, Brandon",So.,2010-11,F,6-6,20,30,62,0.484,0,1,0.000,20,26,0.769,50,2.500,6,0.300,3,0.150,5,0.250,80,4.000,13
"Downing, Zac",Jr.,2010-11,F,6-5,22,15,56,0.268,10,36,0.278,5,7,0.714,22,1.000,4,0.182,2,0.091,4,0.182,45,2.045,8
"Gardner, Darius",Fr.,2010-11,G,5-9,29,36,99,0.364,11,35,0.314,48,60,0.800,41,1.414,77,2.655,3,0.103,21,0.724,131,4.517,59
"Glynn, Jordan",Sr.,2010-11,F,6-7,29,117,218,0.537,0,2,0.000,100,122,0.820,233,8.034,37,1.276,6,0.207,34,1.172,334,11.517,45
"Gomillia, Mark",Sr.,2010-11,F,6-5,29,53,99,0.535,0,1,0.000,16,29,0.552,61,2.103,14,0.483,1,0.034,7,0.241,122,4.207,29
"Haymon, Desmond",Fr.,2010-11,G,6-3,13,16,38,0.421,8,24,0.333,12,20,0.600,10,0.769,8,0.615,0,-,9,0.692,52,4.000,2
"Olatayo, Amos",Fr.,2010-11,F,6-4,24,35,73,0.479,12,35,0.343,21,28,0.750,44,1.833,9,0.375,5,0.208,14,0.583,103,4.292,17
"Prewster, Dion",Jr.,2010-11,F,6-5,29,50,112,0.446,18,46,0.391,31,42,0.738,89,3.069,35,1.207,7,0.241,8,0.276,149,5.138,34
"Scott, Jereal",Jr.,2010-11,F,6-7,28,144,240,0.600,0,0,-,84,122,0.689,162,5.786,22,0.786,6,0.214,14,0.500,372,13.286,54
"Walton, Mark",So.,2010-11,C,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Williams, Eddie",Sr.,2010-11,G,6-2,29,87,236,0.369,19,74,0.257,38,66,0.576,142,4.897,105,3.621,4,0.138,34,1.172,231,7.966,55
