name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Anyijong, Justin",Sr.,2010-11,C,6-9,32,49,144,0.340,25,90,0.278,15,24,0.625,89,2.781,17,0.531,10,0.313,9,0.281,138,4.313,22
"Chadwell, Jess",Fr.,2010-11,F,6-4,21,6,16,0.375,1,7,0.143,7,12,0.583,21,1.000,9,0.429,0,-,5,0.238,20,0.952,11
"Dear, Delino",Fr.,2010-11,C,6-9,32,101,225,0.449,0,0,-,58,111,0.523,161,5.031,16,0.500,21,0.656,8,0.250,260,8.125,53
"Griffin, Malcolm",So.,2010-11,G,6-4,31,149,320,0.466,33,86,0.384,42,66,0.636,82,2.645,123,3.968,2,0.065,42,1.355,373,12.032,123
"Holliday, Reese",Fr.,2010-11,G,6-4,23,80,182,0.440,5,25,0.200,77,124,0.621,151,6.565,49,2.130,2,0.087,17,0.739,242,10.522,55
"Humes, Hayden",Fr.,2010-11,F,6-8,32,55,134,0.410,5,20,0.250,68,94,0.723,164,5.125,29,0.906,5,0.156,11,0.344,183,5.719,41
"Leahy, Zack",Fr.,2010-11,G,6-0,30,41,119,0.345,21,61,0.344,40,63,0.635,41,1.367,33,1.100,1,0.033,24,0.800,143,4.767,54
"Pearson, Rian",---,2010-11,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Rodriguez, Drew",Jr.,2010-11,G,6-0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Rohner, Kevin",So.,2010-11,G,6-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Shunnar, Jay",Jr.,2010-11,G,6-1,32,53,140,0.379,23,76,0.303,50,72,0.694,44,1.375,32,1.000,3,0.094,17,0.531,179,5.594,44
"Thomas, J.T.",Fr.,2010-11,G,6-1,19,26,78,0.333,10,31,0.323,24,39,0.615,33,1.737,32,1.684,0,-,17,0.895,86,4.526,39
"Wonnell, Richard",Fr.,2010-11,C,6-10,26,6,13,0.462,0,0,-,6,19,0.316,21,0.808,2,0.077,0,-,5,0.192,18,0.692,8
"Wright, Anthony",Sr.,2010-11,F,6-6,30,69,186,0.371,47,135,0.348,26,34,0.765,99,3.300,50,1.667,3,0.100,19,0.633,211,7.033,54
