name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Clayman, Flynn",Jr.,2010-11,F,6-8,13,5,29,0.172,2,14,0.143,2,4,0.500,8,0.615,3,0.231,3,0.231,2,0.154,14,1.077,6
"Combs, Nic",So.,2010-11,G,5-9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Cunningham, Steven",Jr.,2010-11,G,6-3,23,43,89,0.483,6,16,0.375,10,31,0.323,85,3.696,30,1.304,17,0.739,19,0.826,102,4.435,36
"Huddleston, Regis",Sr.,2010-11,G,6-0,29,81,231,0.351,67,190,0.353,10,15,0.667,44,1.517,19,0.655,1,0.034,18,0.621,239,8.241,25
"Lee, Travis",Sr.,2010-11,G,5-9,24,64,165,0.388,52,137,0.380,16,23,0.696,32,1.333,11,0.458,0,-,12,0.500,196,8.167,15
"Owens, Tim",Jr.,2010-11,C,6-8,26,14,27,0.519,0,0,-,12,24,0.500,50,1.923,3,0.115,10,0.385,7,0.269,40,1.538,16
"Patsatsia, Levan",Sr.,2010-11,G,6-6,29,77,198,0.389,23,83,0.277,48,75,0.640,140,4.828,42,1.448,8,0.276,22,0.759,225,7.759,36
"Patterson, Shawntez",Jr.,2010-11,F,6-7,26,72,176,0.409,43,98,0.439,6,15,0.400,88,3.385,18,0.692,13,0.500,8,0.308,193,7.423,34
"Ross, DeAndrae",Jr.,2010-11,G,6-2,8,15,39,0.385,7,23,0.304,3,6,0.500,14,1.750,13,1.625,0,-,2,0.250,40,5.000,13
"Smith, Dylan",Fr.,2010-11,G,6-0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Taylor, Vernon",Sr.,2010-11,G,6-3,27,135,325,0.415,30,104,0.288,123,158,0.778,134,4.963,58,2.148,2,0.074,29,1.074,423,15.667,80
"Toombs, Bernard",Sr.,2010-11,C,6-10,29,116,224,0.518,0,0,-,47,81,0.580,268,9.241,20,0.690,47,1.621,24,0.828,279,9.621,39
"Weathers, Will",So.,2010-11,G,6-0,27,111,293,0.379,25,78,0.321,78,104,0.750,128,4.741,178,6.593,3,0.111,50,1.852,325,12.037,110
