name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Dupont, Harrison",So.,2010-11,G,6-5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Harden, Joe",Sr.,2010-11,G,6-8,28,148,320,0.463,10,33,0.303,114,142,0.803,156,5.571,44,1.571,9,0.321,38,1.357,420,15.000,65
"Howley, Ryan",So.,2010-11,G,6-5,27,35,70,0.500,14,39,0.359,14,28,0.500,60,2.222,23,0.852,5,0.185,9,0.333,98,3.630,22
"Kurtz, Mike",Fr.,2010-11,F,7-0,30,27,67,0.403,10,31,0.323,7,10,0.700,47,1.567,12,0.400,26,0.867,6,0.200,71,2.367,15
"Les, Tyler",Fr.,2010-11,G,6-2,25,18,37,0.486,17,34,0.500,6,8,0.750,9,0.360,16,0.640,0,-,1,0.040,59,2.360,5
"Lowenthal, Todd",Sr.,2010-11,G,6-3,21,19,53,0.358,0,4,0.000,10,16,0.625,112,5.333,83,3.952,1,0.048,29,1.381,48,2.286,34
"Miller, Eddie",Jr.,2010-11,G,6-5,30,137,288,0.476,41,112,0.366,60,92,0.652,133,4.433,43,1.433,4,0.133,32,1.067,375,12.500,67
"Payne, Mark",Sr.,2010-11,G,6-8,27,132,253,0.522,18,55,0.327,133,164,0.811,134,4.963,96,3.556,6,0.222,29,1.074,415,15.370,53
"Ritchart, Josh",Fr.,2010-11,F,6-9,30,83,183,0.454,47,115,0.409,23,35,0.657,76,2.533,20,0.667,11,0.367,12,0.400,236,7.867,36
"Silva, Ryan",Sr.,2010-11,G,5-10,21,19,53,0.358,16,44,0.364,9,15,0.600,27,1.286,29,1.381,0,-,20,0.952,63,3.000,28
"Sypkens, Ryan",So.,2010-11,G,6-4,30,102,237,0.430,66,157,0.420,22,28,0.786,59,1.967,71,2.367,7,0.233,19,0.633,292,9.733,60
"Tiffin, Alex",Fr.,2010-11,F,6-9,29,24,58,0.414,2,13,0.154,9,21,0.429,38,1.310,13,0.448,8,0.276,1,0.034,59,2.034,30
