Fresno St.,11/12/2010,83,56,Home,,-,"22,700"
Utah St.,11/17/2010,78,72,Home,,-,"17,303"
Chicago St.,11/20/2010,109,60,Home,,-,"11,544"
Mississippi Val.,11/23/2010,86,36,Home,,-,"9,207"
South Fla.,11/26/2010,77,75,Neutral,"South Padre Island, TX",2 OT,"1,100"
St. Mary's (CA),11/27/2010,74,73,Neutral,"South Padre Island, TX",-,"1,300"
Creighton,12/01/2010,77,65,Away,,-,"15,532"
Hawaii,12/04/2010,78,57,Neutral,"Salt Lake City, UT",-,"13,312"
Vermont,12/08/2010,86,58,Neutral,"Glens Falls, NY",-,"6,300"
Arizona,12/11/2010,87,65,Neutral,"Salt Lake City, UT",-,"15,814"
UCLA,12/18/2010,79,86,Neutral,"Anaheim, CA",-,"12,499"
Weber St.,12/21/2010,72,66,Away,,-,"10,453"
UTEP,12/23/2010,89,68,Home,,-,"13,403"
Buffalo,12/30/2010,90,82,Away,,-,"5,803"
Fresno Pacific,01/01/2011,93,57,Home,,-,"12,762"
UNLV,01/05/2011,89,77,Away,,-,"17,942"
Air Force,01/08/2011,76,66,Home,,-,"22,700"
Utah,01/11/2011,104,79,Away,,-,"11,243"
TCU,01/18/2011,83,67,Home,,-,"16,170"
Colorado St.,01/22/2011,94,85,Away,,-,"8,745"
San Diego St.,01/26/2011,71,58,Home,,-,"22,700"
New Mexico,01/29/2011,77,86,Away,,-,"15,411"
Wyoming,02/02/2011,69,62,Away,,-,"5,131"
UNLV,02/05/2011,78,64,Home,,-,"22,700"
Air Force,02/09/2011,90,52,Away,,-,"6,028"
Utah,02/12/2011,72,59,Home,,-,"22,700"
TCU,02/19/2011,79,56,Away,,-,"7,258"
Colorado St.,02/23/2011,84,76,Home,,-,"22,700"
San Diego St.,02/26/2011,80,67,Away,,-,"12,414"
New Mexico,03/02/2011,64,82,Home,,-,"22,700"
Wyoming,03/05/2011,102,78,Home,,-,"22,700"
TCU,03/10/2011,64,58,Neutral,"Las Vegas, NV",-,"14,697"
New Mexico,03/11/2011,87,76,Neutral,"Las Vegas, NV",-,"18,500"
San Diego St.,03/12/2011,54,72,Neutral,"Las Vegas, NV",-,"18,500"
Wofford,03/17/2011,74,66,Neutral,"Denver, CO",-,"19,216"
Gonzaga,03/19/2011,89,67,Neutral,"Denver, CO",-,"19,328"
Florida,03/24/2011,74,83,Neutral,"New Orleans, LA",1 OT,"12,320"
