Tex. A&M-Kingsville,11/12/2010,66,55,Home,,-,"8,014"
Northern Ill.,11/16/2010,66,63,Home,,-,"7,646"
Loyola Marymount,11/17/2010,59,57,Home,,-,"7,645"
Southern California,11/20/2010,64,63,Neutral,"Springfield, MA",-,"2,274"
TCU,11/21/2010,68,74,Neutral,"Springfield, MA",-,"1,066"
Eastern Ill.,11/24/2010,56,63,Home,,-,"8,004"
Western Caro.,11/30/2010,65,66,Away,,-,"1,872"
Utah,12/04/2010,60,68,Home,,-,"9,076"
Duke,12/08/2010,48,83,Away,,-,"9,314"
Jackson St.,12/20/2010,64,55,Home,,-,"7,235"
Detroit,12/22/2010,73,65,Home,,-,"7,781"
Indiana St.,12/29/2010,66,80,Away,,-,"4,037"
Wichita St.,01/01/2011,63,79,Home,,-,"8,410"
Southern Ill.,01/04/2011,64,72,Home,,-,"8,307"
Drake,01/07/2011,58,64,Away,,-,"3,827"
UNI,01/09/2011,77,83,Away,,-,"3,890"
Indiana St.,01/12/2011,53,59,Home,,-,"7,567"
Missouri St.,01/16/2011,67,78,Home,,-,"8,551"
Creighton,01/19/2011,68,81,Away,,-,"14,502"
Evansville,01/23/2011,67,70,Away,,-,"4,038"
Illinois St.,01/26/2011,78,79,Home,,1 OT,"10,592"
Wichita St.,01/29/2011,41,61,Away,,-,"10,506"
Creighton,02/01/2011,69,61,Home,,-,"8,091"
Southern Ill.,02/05/2011,69,66,Away,,-,"3,398"
Missouri St.,02/09/2011,69,77,Away,,-,"6,649"
Evansville,02/12/2011,68,54,Home,,-,"10,019"
UNI,02/15/2011,70,80,Home,,-,"8,490"
UT Martin,02/19/2011,81,75,Away,,-,"1,008"
Illinois St.,02/22/2011,50,51,Away,,-,"6,126"
Drake,02/26/2011,90,64,Home,,-,"9,720"
Drake,03/03/2011,63,48,Neutral,"St. Louis, MO",-,"6,675"
Wichita St.,03/04/2011,56,70,Neutral,"St. Louis, MO",-,"9,318"
