Albany (NY),11/12/2010,65,61,Away,,-,"3,983"
Seton Hall,11/14/2010,68,92,Away,,-,"6,583"
Delaware,11/17/2010,75,61,Home,,-,"3,337"
St. Bonaventure,11/19/2010,54,56,Home,,-,"3,081"
Lehigh,11/22/2010,57,60,Away,,-,767
Boston U.,11/27/2010,61,66,Away,,-,683
Syracuse,11/30/2010,58,78,Away,,-,"20,548"
Minnesota,12/04/2010,66,71,Away,,-,"12,633"
Binghamton,12/18/2010,68,69,Away,,-,"3,209"
Bucknell,12/20/2010,64,75,Home,,-,"2,605"
New Hampshire,12/29/2010,66,68,Neutral,"Richmond, VA",-,"5,799"
Wofford,12/30/2010,86,80,Neutral,"Richmond, VA",-,"5,560"
Buffalo,01/03/2011,66,78,Home,,-,"1,690"
Stony Brook,01/08/2011,60,52,Home,,-,"1,679"
Columbia,01/15/2011,75,79,Away,,-,"2,104"
Columbia,01/22/2011,66,70,Home,,-,"1,764"
Dartmouth,01/28/2011,57,64,Away,,-,984
Harvard,01/29/2011,57,78,Away,,-,"2,195"
Yale,02/04/2011,70,71,Away,,-,"1,282"
Brown,02/05/2011,91,79,Away,,-,"1,477"
Penn,02/11/2011,82,71,Home,,1 OT,"2,137"
Princeton,02/12/2011,55,57,Home,,-,"4,087"
Harvard,02/18/2011,60,73,Home,,-,"2,012"
Dartmouth,02/19/2011,96,76,Home,,-,"1,748"
Princeton,02/25/2011,66,84,Away,,-,"3,864"
Penn,02/26/2011,74,72,Away,,-,"6,874"
Brown,03/04/2011,75,66,Home,,-,"1,541"
Yale,03/05/2011,68,55,Home,,-,"2,008"
