Ohio,11/13/2010,69,88,Away,,-,"5,681"
Cornell,11/17/2010,61,75,Away,,-,"3,337"
Howard,11/19/2010,66,34,Home,,-,"2,683"
Lafayette,11/27/2010,67,64,Away,,-,"1,166"
Old Dominion,12/04/2010,75,67,Home,,-,"2,201"
Hampton,12/08/2010,55,53,Away,,-,"3,527"
Delaware St.,12/11/2010,61,50,Home,,-,"2,382"
Villanova,12/18/2010,59,78,Away,,-,"12,055"
Penn,12/22/2010,68,78,Home,,-,"3,243"
Santa Clara,12/29/2010,54,53,Away,,-,"1,601"
American,12/30/2010,71,83,Neutral,"Santa Clara, CA",-,"1,455"
George Mason,01/03/2011,66,75,Away,,-,"4,719"
William & Mary,01/05/2011,61,48,Home,,-,"2,544"
Drexel,01/08/2011,55,68,Away,,-,"2,532"
UNC Wilmington,01/12/2011,53,76,Away,,-,"3,790"
Towson,01/15/2011,66,63,Away,,-,"1,245"
Northeastern,01/19/2011,54,52,Home,,-,"2,426"
Georgia St.,01/22/2011,64,62,Away,,-,949
George Mason,01/24/2011,49,69,Home,,-,"1,846"
William & Mary,01/26/2011,59,55,Away,,-,"2,679"
James Madison,01/29/2011,71,77,Home,,-,"2,429"
Old Dominion,02/02/2011,59,67,Away,,-,"8,042"
Drexel,02/05/2011,48,58,Home,,-,"2,406"
VCU,02/09/2011,74,84,Home,,2 OT,"2,471"
Hofstra,02/12/2011,58,61,Home,,-,"3,503"
Northeastern,02/15/2011,72,66,Away,,-,"1,119"
Rider,02/19/2011,86,95,Away,,-,"1,616"
Towson,02/23/2011,80,70,Home,,-,"2,126"
Hofstra,02/26/2011,60,79,Away,,-,"5,050"
Northeastern,03/04/2011,60,58,Neutral,"Richmond, VA",-,"9,511"
Old Dominion,03/05/2011,50,59,Neutral,"Richmond, VA",-,"6,205"
