New Mexico,11/13/2010,54,63,Away,,-,"15,145"
Syracuse,11/16/2010,55,66,Away,,-,"17,379"
Indiana Tech,11/19/2010,93,62,Home,,-,"2,908"
Mississippi St.,11/22/2010,76,82,Away,,-,"4,221"
Albany (NY),11/26/2010,84,82,Home,,2 OT,"2,017"
Bowling Green,11/27/2010,71,62,Home,,-,"2,294"
Niagara,11/28/2010,96,77,Home,,-,"1,386"
Akron,12/01/2010,69,77,Home,,-,"1,631"
Wright St.,12/04/2010,78,69,Home,,-,"2,213"
Western Mich.,12/08/2010,69,71,Away,,-,"2,668"
Eastern Mich.,12/11/2010,68,65,Away,,1 OT,"1,048"
Central Mich.,12/18/2010,75,49,Away,,-,"3,162"
Bradley,12/22/2010,65,73,Away,,-,"7,781"
Green Bay,12/30/2010,79,56,Home,,-,"2,684"
Milwaukee,01/01/2011,81,84,Home,,1 OT,"1,577"
Loyola Chicago,01/06/2011,83,71,Away,,-,"2,071"
Ill.-Chicago,01/08/2011,72,69,Away,,-,"3,244"
Butler,01/14/2011,64,87,Home,,-,"6,674"
Valparaiso,01/16/2011,68,78,Home,,-,"4,183"
Cleveland St.,01/20/2011,69,81,Away,,-,"3,518"
Youngstown St.,01/22/2011,73,69,Away,,-,"4,803"
Milwaukee,01/28/2011,67,72,Away,,-,"3,072"
Green Bay,01/30/2011,74,85,Away,,-,"3,629"
Ill.-Chicago,02/03/2011,77,63,Home,,-,"1,654"
Loyola Chicago,02/05/2011,81,71,Home,,-,"1,934"
Cleveland St.,02/07/2011,81,78,Home,,-,"2,356"
Valparaiso,02/10/2011,74,82,Away,,-,"2,877"
Butler,02/12/2011,51,66,Away,,-,"9,004"
Youngstown St.,02/16/2011,91,79,Home,,-,"1,985"
Drake,02/19/2011,76,84,Away,,-,"4,570"
Wright St.,02/25/2011,77,67,Away,,-,"6,251"
Loyola Chicago,03/01/2011,90,69,Home,,-,"1,617"
Valparaiso,03/04/2011,78,88,Neutral,"Milwaukee, WI",-,"2,357"
