Wake Forest,11/15/2010,56,63,Away,,-,"7,570"
Winthrop,11/16/2010,45,44,Neutral,"Winston-Salem, NC",-,259
Fordham,11/19/2010,58,48,Away,,-,"1,374"
Boston U.,11/22/2010,51,50,Neutral,"Washington, DC",-,832
George Washington,11/23/2010,62,51,Away,,-,532
High Point,11/28/2010,70,64,Away,,-,"1,002"
Georgia St.,11/30/2010,60,56,Home,,1 OT,"3,562"
Howard,12/04/2010,67,55,Neutral,"New York, NY",-,"6,452"
Delaware,12/08/2010,53,55,Home,,-,"3,527"
Towson,12/20/2010,78,67,Home,,-,759
Liberty,12/22/2010,62,59,Home,,-,765
Dominican (CA),12/29/2010,78,65,Neutral,"San Francisco, CA",-,125
San Francisco,12/30/2010,57,69,Away,,-,"1,490"
Colorado St.,01/01/2011,77,75,Neutral,"San Francisco, CA",-,177
Coppin St.,01/08/2011,67,59,Away,,-,719
Morgan St.,01/10/2011,72,78,Away,,-,"1,376"
Norfolk St.,01/15/2011,63,56,Home,,-,"5,765"
N.C. A&T,01/17/2011,82,77,Home,,-,"3,765"
Bethune-Cookman,01/22/2011,68,56,Away,,-,840
Florida A&M,01/24/2011,58,62,Away,,-,"2,350"
Delaware St.,01/29/2011,70,66,Home,,1 OT,"4,312"
Md.-East. Shore,01/31/2011,78,66,Home,,-,"4,832"
South Carolina St.,02/05/2011,64,53,Home,,-,"4,352"
Norfolk St.,02/12/2011,86,72,Away,,-,"6,191"
N.C. A&T,02/14/2011,63,74,Away,,-,"1,903"
Bethune-Cookman,02/19/2011,76,78,Home,,2 OT,"3,452"
Florida A&M,02/21/2011,55,58,Home,,-,"3,741"
Delaware St.,02/26/2011,71,64,Away,,-,"1,237"
Howard,03/03/2011,83,72,Away,,-,"6,534"
Md.-East. Shore,03/09/2011,77,55,Neutral,"Winston-Salem, NC",-,"7,981"
Norfolk St.,03/11/2011,85,61,Neutral,"Winston-Salem, NC",-,"8,946"
Morgan St.,03/12/2011,60,55,Neutral,"Winston-Salem, NC",-,"8,936"
Duke,03/18/2011,45,87,Neutral,"Charlotte, NC",-,"16,829"
