Lyon,11/12/2010,115,57,Home,,-,"2,675"
UC Riverside,11/19/2010,90,75,Neutral,"Dallas, TX",-,"1,296"
Portland St.,11/20/2010,98,102,Neutral,"Dallas, TX",-,"1,424"
SMU,11/21/2010,70,102,Away,,-,"1,378"
Tex.-Pan American,11/23/2010,85,82,Away,,-,494
St. Gregory's,11/27/2010,118,69,Home,,-,"2,418"
Texas,12/01/2010,55,76,Away,,-,"9,898"
Rice,12/04/2010,73,75,Away,,-,"1,427"
Huston-Tillotson,12/11/2010,123,79,Home,,-,"2,432"
La.-Lafayette,12/19/2010,65,68,Away,,-,"1,865"
Canisius,12/22/2010,72,78,Home,,-,"2,557"
Tulane,12/30/2010,77,93,Away,,-,"1,588"
Louisiana Col.,01/04/2011,114,62,Home,,-,"3,221"
Central Ark.,01/08/2011,99,75,Away,,-,"1,277"
McNeese St.,01/12/2011,76,78,Home,,-,"4,164"
Texas-Arlington,01/15/2011,76,72,Away,,-,980
Arkansas St.,01/17/2011,75,78,Away,,-,"3,067"
Central Ark.,01/22/2011,107,72,Home,,-,"2,875"
Northwestern St.,01/26/2011,69,79,Home,,-,"3,057"
Nicholls St.,01/29/2011,71,78,Away,,-,876
Southeastern La.,02/02/2011,87,89,Home,,-,"2,713"
UTSA,02/05/2011,64,70,Away,,-,"3,066"
Northwestern St.,02/10/2011,68,70,Away,,-,"1,042"
Nicholls St.,02/12/2011,84,71,Home,,-,"3,057"
Southeastern La.,02/16/2011,57,52,Away,,-,746
A&M-Corpus Christi,02/19/2011,73,56,Home,,-,"3,843"
Stephen F. Austin,02/23/2011,55,60,Away,,-,"2,476"
Sam Houston St.,02/26/2011,60,67,Home,,-,"5,083"
Texas St.,03/02/2011,113,102,Home,,-,"3,187"
McNeese St.,03/05/2011,74,92,Away,,-,"3,704"
