Morgan St.,11/12/2010,79,81,Home,,-,"2,933"
La Sierra,11/14/2010,100,62,Home,,-,"1,302"
Bradley,11/17/2010,57,59,Away,,-,"7,645"
Dowling,11/20/2010,78,71,Neutral,"Springfield, MA",-,"3,000"
Rider,11/21/2010,63,73,Neutral,"Springfield, MA",-,"3,000"
Cal Poly,11/24/2010,48,55,Away,,-,"1,313"
Long Beach St.,11/27/2010,80,77,Away,,1 OT,"2,068"
UC Santa Barbara,12/01/2010,67,77,Away,,-,"2,219"
Cal Poly,12/04/2010,67,48,Home,,-,"1,975"
Sacramento St.,12/07/2010,69,49,Home,,-,"1,198"
South Dakota,12/11/2010,72,67,Home,,-,"1,702"
Florida St.,12/18/2010,63,74,Home,,-,"3,193"
South Dakota,12/22/2010,70,82,Away,,-,"1,379"
UC Irvine,12/30/2010,87,80,Away,,-,"1,306"
St. Mary's (CA),01/06/2011,75,98,Home,,-,"2,040"
San Diego,01/08/2011,67,58,Home,,-,"1,788"
Portland,01/13/2011,78,79,Away,,2 OT,"1,979"
Gonzaga,01/15/2011,59,79,Away,,-,"6,000"
Pepperdine,01/22/2011,75,78,Away,,-,"2,142"
San Francisco,01/27/2011,60,61,Home,,-,"1,631"
Santa Clara,01/29/2011,72,79,Home,,-,"3,756"
Seattle,01/31/2011,81,64,Home,,-,"1,610"
San Diego,02/03/2011,63,66,Away,,-,"2,174"
St. Mary's (CA),02/05/2011,70,79,Away,,-,"3,500"
Gonzaga,02/10/2011,57,67,Home,,-,"2,964"
Portland,02/12/2011,48,71,Home,,-,"3,302"
Pepperdine,02/16/2011,82,79,Home,,-,"2,750"
Portland St.,02/19/2011,75,84,Away,,-,782
Santa Clara,02/24/2011,88,94,Away,,2 OT,"1,885"
San Francisco,02/26/2011,75,77,Away,,-,"2,474"
Portland,03/04/2011,72,68,Neutral,"Las Vegas, NV",-,"6,560"
Santa Clara,03/05/2011,68,76,Neutral,"Las Vegas, NV",-,"7,045"
