Wofford,11/12/2010,69,55,Home,,-,"12,228"
Siena,11/15/2010,76,69,Home,,-,"10,752"
Western Ky.,11/18/2010,95,77,Neutral,"San Juan, PR",-,"7,205"
North Carolina,11/19/2010,72,67,Neutral,"San Juan, PR",-,"10,127"
West Virginia,11/21/2010,74,70,Neutral,"San Juan, PR",-,"11,575"
North Dakota St.,11/24/2010,84,65,Home,,-,"12,056"
Virginia,11/29/2010,79,87,Home,,-,"12,089"
Cornell,12/04/2010,71,66,Home,,-,"12,633"
Saint Joseph's,12/08/2010,83,73,Away,,-,"3,911"
Eastern Ky.,12/11/2010,71,58,Home,,-,"11,081"
Akron,12/15/2010,66,58,Home,,-,"11,237"
South Dakota St.,12/23/2010,85,73,Home,,-,"13,302"
Wisconsin,12/28/2010,60,68,Away,,-,"17,230"
Michigan St.,12/31/2010,62,71,Away,,-,"14,797"
Indiana,01/04/2011,67,63,Home,,-,"12,727"
Ohio St.,01/09/2011,64,67,Away,,-,"17,392"
Purdue,01/13/2011,70,67,Home,,-,"14,625"
Iowa,01/16/2011,69,59,Home,,-,"14,625"
Michigan,01/22/2011,69,64,Away,,-,"12,378"
Northwestern,01/26/2011,81,70,Home,,-,"14,625"
Purdue,01/29/2011,61,73,Away,,-,"14,123"
Indiana,02/02/2011,57,60,Away,,-,"16,168"
Ohio St.,02/06/2011,69,82,Home,,-,"14,625"
Illinois,02/10/2011,62,71,Home,,-,"14,625"
Iowa,02/13/2011,62,45,Away,,-,"12,759"
Penn St.,02/17/2011,63,66,Away,,-,"8,446"
Michigan St.,02/22/2011,48,53,Home,,-,"14,625"
Michigan,02/26/2011,63,70,Home,,-,"14,625"
Northwestern,03/02/2011,57,68,Away,,-,"4,584"
Penn St.,03/06/2011,63,66,Home,,-,"14,625"
Northwestern,03/10/2011,65,75,Neutral,"Indianapolis, IN",-,"16,264"
