Milwaukee,11/17/2010,73,90,Home,,-,"2,013"
Georgia Tech,11/19/2010,51,77,Away,,-,"5,313"
Mt. St. Mary's,11/22/2010,65,63,Home,,-,"1,518"
Bowling Green,11/26/2010,65,61,Neutral,"Detroit, MI",-,"2,017"
Albany (NY),11/27/2010,65,75,Neutral,"Detroit, MI",-,417
Detroit,11/28/2010,77,96,Away,,-,"1,386"
Marist,12/03/2010,72,80,Away,,-,"2,018"
Iona,12/05/2010,58,82,Away,,-,"1,711"
Buffalo,12/08/2010,64,82,Away,,-,"1,798"
St. Bonaventure,12/11/2010,69,61,Away,,-,"4,022"
Central Conn. St.,12/19/2010,71,74,Away,,-,"1,179"
Quinnipiac,12/22/2010,63,88,Home,,-,"1,563"
Drexel,12/28/2010,39,84,Away,,-,"1,832"
UMBC,12/30/2010,67,68,Away,,-,"1,466"
Fairfield,01/03/2011,48,70,Away,,-,"1,794"
Rider,01/07/2011,65,82,Home,,-,"1,275"
Siena,01/09/2011,69,55,Home,,-,"1,251"
Saint Peter's,01/15/2011,57,77,Away,,-,567
Manhattan,01/17/2011,49,51,Away,,-,824
Iona,01/21/2011,66,72,Home,,-,"1,651"
Fairfield,01/23/2011,49,57,Home,,-,"1,327"
Canisius,01/28/2011,54,69,Away,,-,"2,196"
Siena,01/30/2011,59,61,Away,,-,"8,275"
Saint Peter's,02/04/2011,47,70,Home,,-,"1,422"
Marist,02/06/2011,77,60,Home,,-,"1,187"
Loyola Maryland,02/11/2011,59,57,Away,,-,888
Rider,02/13/2011,50,61,Away,,-,"1,580"
Canisius,02/16/2011,67,65,Home,,-,"2,293"
Central Mich.,02/19/2011,61,55,Home,,-,"1,238"
Loyola Maryland,02/25/2011,63,75,Home,,-,"1,296"
Manhattan,02/27/2011,66,59,Home,,-,"1,662"
Marist,03/04/2011,61,73,Neutral,"Bridgeport, CT",-,"2,276"
