Marquette,11/12/2010,58,97,Away,,-,"14,046"
Wisconsin,11/14/2010,55,99,Away,,-,"17,230"
Arlington Baptist,11/16/2010,82,58,Home,,-,"2,876"
La Salle,11/18/2010,74,88,Away,,-,"1,516"
Providence,11/20/2010,62,78,Away,,-,"5,851"
North Florida,11/23/2010,66,84,Neutral,"Playa del Carmen, MEX",-,110
Western Ill.,11/24/2010,63,69,Neutral,"Playa del Carmen, MEX",-,600
Baylor,11/29/2010,45,90,Away,,-,"5,638"
TCU,12/01/2010,61,78,Away,,-,"3,524"
Ecclesia,12/04/2010,90,65,Home,,-,"1,177"
Texas A&M,12/08/2010,63,87,Away,,-,"6,270"
Michigan St.,12/18/2010,51,90,Away,,-,"14,797"
Dallas Christian,12/21/2010,83,48,Home,,-,447
Alcorn St.,01/04/2011,68,66,Away,,1 OT,"1,193"
Southern U.,01/06/2011,48,51,Away,,-,394
Texas Southern,01/08/2011,51,58,Home,,-,"3,882"
Grambling,01/15/2011,71,54,Neutral,"Dallas, TX",-,"2,883"
Jackson St.,01/17/2011,63,70,Home,,-,"3,872"
Mississippi Val.,01/22/2011,63,96,Away,,-,"2,593"
Ark.-Pine Bluff,01/24/2011,85,90,Away,,2 OT,"2,578"
Alabama St.,01/29/2011,69,61,Home,,-,"2,711"
Alabama A&M,01/31/2011,53,62,Home,,-,"2,722"
Texas Southern,02/05/2011,58,63,Away,,-,"5,578"
Grambling,02/11/2011,33,64,Away,,-,"1,587"
Jackson St.,02/14/2011,53,54,Away,,-,"1,245"
Mississippi Val.,02/19/2011,59,54,Home,,-,"2,211"
Ark.-Pine Bluff,02/21/2011,59,53,Home,,-,"4,112"
Alabama St.,02/26/2011,61,68,Away,,-,"1,288"
Alabama A&M,02/28/2011,58,63,Away,,-,"1,856"
Alcorn St.,03/03/2011,96,77,Home,,-,"3,979"
Southern U.,03/05/2011,72,57,Home,,-,"2,376"
Jackson St.,03/09/2011,38,50,Neutral,"Garland, TX",-,"3,175"
