Dartmouth,11/13/2010,87,52,Home,,-,"5,203"
Yale,11/15/2010,58,55,Home,,-,"3,521"
Morgan St.,11/18/2010,77,55,Home,,-,"4,620"
Prairie View,11/20/2010,78,62,Home,,-,"5,851"
La Salle,11/23/2010,73,84,Neutral,"Playa del Carmen, MEX",-,330
Wyoming,11/24/2010,84,77,Neutral,"Playa del Carmen, MEX",-,510
Central Conn. St.,11/29/2010,92,57,Home,,-,"3,783"
Northeastern,12/01/2010,77,72,Home,,-,"4,828"
Rhode Island,12/04/2010,87,74,Home,,-,"12,410"
Brown,12/06/2010,91,64,Home,,-,"3,641"
Boston College,12/08/2010,86,88,Away,,-,"5,462"
Alabama,12/11/2010,82,70,Home,,-,"8,056"
Sacred Heart,12/21/2010,84,76,Home,,-,"6,075"
Syracuse,12/28/2010,74,81,Away,,-,"20,388"
St. John's (NY),01/01/2011,65,67,Home,,-,"8,157"
Pittsburgh,01/04/2011,79,83,Home,,-,"9,181"
Rutgers,01/08/2011,72,85,Away,,-,"6,520"
West Virginia,01/13/2011,63,93,Away,,-,"11,052"
South Fla.,01/16/2011,72,79,Away,,-,"3,526"
Louisville,01/22/2011,72,67,Home,,-,"12,051"
Villanova,01/26/2011,83,68,Home,,-,"7,927"
Seton Hall,01/30/2011,71,81,Away,,-,"9,880"
South Fla.,02/02/2011,68,63,Home,,-,"3,785"
Georgetown,02/05/2011,81,83,Away,,-,"16,289"
Connecticut,02/13/2011,57,75,Away,,-,"10,167"
DePaul,02/17/2011,76,79,Home,,-,"5,021"
Cincinnati,02/19/2011,81,93,Home,,1 OT,"9,432"
Notre Dame,02/23/2011,93,94,Home,,-,"11,185"
Marquette,02/27/2011,62,86,Away,,-,"16,768"
Louisville,03/02/2011,60,87,Away,,-,"22,724"
Rutgers,03/05/2011,75,74,Home,,-,"9,088"
Marquette,03/08/2011,66,87,Neutral,"New York, NY",-,"19,375"
