St. Thomas (TX),11/12/2010,63,51,Home,,-,"1,726"
Grambling,11/14/2010,86,57,Home,,-,"1,312"
Santa Clara,11/18/2010,65,66,Away,,-,"1,312"
St. Gregory's,11/21/2010,75,58,Home,,-,"1,337"
North Texas,11/23/2010,65,68,Away,,-,"3,453"
Texas,11/27/2010,59,62,Away,,-,"10,969"
Arizona,12/01/2010,57,84,Home,,-,"2,680"
Lamar,12/04/2010,75,73,Home,,-,"1,427"
UALR,12/16/2010,65,55,Home,,-,"1,339"
Stetson,12/21/2010,66,63,Neutral,"Las Vegas, NV",-,"1,180"
Miami (FL),12/22/2010,67,73,Neutral,"Las Vegas, NV",-,"1,095"
Oral Roberts,12/23/2010,78,80,Neutral,"Las Vegas, NV",-,974
LSU,12/29/2010,74,68,Home,,-,"3,358"
TCU,01/02/2011,70,61,Home,,-,"1,433"
Tulane,01/05/2011,81,85,Home,,-,"1,282"
Tulsa,01/08/2011,64,75,Away,,-,"5,439"
Southern Miss.,01/12/2011,78,81,Home,,1 OT,"1,635"
UTEP,01/15/2011,43,66,Away,,-,"8,761"
UCF,01/22/2011,57,50,Away,,-,"9,347"
Houston,01/26/2011,79,71,Home,,1 OT,"2,312"
SMU,01/29/2011,68,75,Home,,-,"1,910"
Tulane,02/02/2011,71,61,Away,,-,"1,842"
UTEP,02/05/2011,53,59,Home,,-,"2,134"
UAB,02/12/2011,68,74,Away,,-,"6,034"
Marshall,02/16/2011,61,72,Away,,-,"5,500"
Memphis,02/19/2011,67,52,Home,,-,"2,324"
SMU,02/23/2011,66,76,Away,,1 OT,"1,707"
East Carolina,02/26/2011,68,71,Home,,-,"1,514"
Tulsa,03/02/2011,57,67,Home,,-,"1,685"
Houston,03/05/2011,72,57,Away,,-,"3,473"
SMU,03/09/2011,58,57,Neutral,"El Paso, TX",-,"6,916"
Tulsa,03/10/2011,72,81,Neutral,"El Paso, TX",-,"11,223"
