Princeton,11/12/2010,73,78,Away,,1 OT,"3,530"
Fairfield,11/15/2010,68,53,Home,,-,"3,810"
Miami (FL),11/21/2010,61,45,Home,,-,"4,753"
Norfolk St.,11/23/2010,83,59,Home,,-,"3,986"
Saint Joseph's,11/26/2010,70,76,Away,"Palestra, Philadelphia",-,"5,219"
NJIT,12/01/2010,66,54,Home,,-,"3,531"
Marist,12/07/2010,64,48,Home,,-,"3,826"
Auburn,12/11/2010,63,54,Neutral,"Pittsburgh, PA",-,"15,166"
Fairleigh Dickinson,12/14/2010,79,65,Home,,-,"4,026"
Monmouth,12/18/2010,79,56,Away,,-,"2,852"
Saint Peter's,12/23/2010,55,52,Home,,-,"4,999"
North Carolina,12/28/2010,55,78,Neutral,"New York, NY",-,"9,401"
Villanova,01/02/2011,65,81,Away,,-,"6,500"
Marquette,01/05/2011,65,73,Home,,-,"5,358"
Providence,01/08/2011,85,72,Home,,-,"6,520"
Connecticut,01/11/2011,53,67,Away,,-,"12,527"
Georgetown,01/15/2011,65,74,Home,,-,"7,122"
South Fla.,01/20/2011,71,62,Home,,-,"5,347"
Seton Hall,01/22/2011,66,60,Away,,-,"8,929"
Cincinnati,01/26/2011,56,72,Away,,-,"6,404"
Pittsburgh,01/29/2011,62,65,Home,,-,"8,024"
St. John's (NY),02/02/2011,56,58,Away,,-,"5,002"
Notre Dame,02/06/2011,69,76,Away,,-,"8,139"
Villanova,02/09/2011,77,76,Home,,-,"6,892"
Seton Hall,02/12/2011,64,69,Home,,-,"8,057"
Syracuse,02/19/2011,80,84,Away,,1 OT,"28,944"
Louisville,02/22/2011,37,55,Home,,-,"5,633"
West Virginia,02/27/2011,54,65,Home,,-,"7,752"
DePaul,03/02/2011,68,64,Away,,-,"8,203"
Providence,03/05/2011,74,75,Away,,-,"9,088"
Seton Hall,03/08/2011,76,70,Neutral,"New York, NY",1 OT,"19,375"
St. John's (NY),03/09/2011,63,65,Away,,-,"19,375"
