IPFW,11/12/2010,55,70,Home,,-,"1,692"
Illinois St.,11/14/2010,64,92,Away,,-,"4,235"
Eastern Ky.,11/17/2010,65,81,Away,,-,"3,300"
MacMurray,11/20/2010,88,73,Home,,-,921
UMKC,11/24/2010,64,82,Away,,-,810
Iowa,11/26/2010,50,111,Away,,-,"11,698"
Morehead St.,11/28/2010,64,83,Home,,-,"1,781"
Tennessee Tech,12/01/2010,65,78,Away,,-,"1,482"
Middle Tenn.,12/04/2010,64,73,Home,,1 OT,974
Loyola Chicago,12/08/2010,50,78,Away,,-,"1,571"
Kennesaw St.,12/11/2010,77,76,Home,,2 OT,648
Indiana,12/17/2010,54,88,Away,,-,"11,908"
UNI,12/19/2010,47,68,Away,,-,"3,253"
Longwood,12/22/2010,78,71,Neutral,"Las Vegas, NV",-,150
Citadel,12/23/2010,59,55,Neutral,"Las Vegas, NV",-,150
Murray St.,12/30/2010,46,71,Away,,-,"2,793"
Ball St.,01/03/2011,46,76,Away,,-,"2,684"
South Dakota,01/08/2011,94,85,Home,,1 OT,"1,385"
IPFW,01/11/2011,79,107,Away,,-,"1,378"
Eastern Ky.,01/18/2011,50,70,Home,,-,"1,507"
Northwestern,01/20/2011,55,98,Away,,-,"4,150"
UT Martin,01/24/2011,69,78,Home,,-,"1,157"
Murray St.,01/26/2011,61,67,Home,,-,"1,512"
Greenville,01/29/2011,78,57,Home,,-,"1,619"
Southeast Mo. St.,02/07/2011,63,83,Home,,-,982
Robert Morris-S'fiel,02/12/2011,74,40,Home,,-,"1,282"
South Dakota,02/20/2011,67,90,Away,,-,"1,012"
Tennessee Tech,02/22/2011,69,92,Home,,-,"1,792"
Hannibal-La Grange,02/24/2011,84,55,Home,,-,"1,842"
