Connecticut,11/12/2010,52,79,Away,,-,"8,319"
Mount Ida,11/14/2010,80,43,Home,,-,"1,025"
Monmouth,11/16/2010,51,49,Away,,-,"2,308"
Fairleigh Dickinson,11/18/2010,66,59,Away,,-,690
Wagner,11/21/2010,54,58,Home,,-,"1,156"
Lehigh,12/01/2010,76,79,Home,,1 OT,"1,118"
Columbia,12/04/2010,72,73,Away,,-,658
Holy Cross,12/07/2010,54,53,Away,,-,"1,084"
Sacred Heart,12/11/2010,66,75,Home,,-,"1,237"
Notre Dame,12/19/2010,62,88,Away,,-,"6,211"
Colgate,12/29/2010,63,54,Home,,-,"1,630"
UMBC,01/02/2011,64,56,Away,,-,"1,216"
Vermont,01/04/2011,49,55,Home,,-,"1,161"
Cornell,01/08/2011,52,60,Away,,-,"1,679"
Binghamton,01/10/2011,50,57,Away,,-,"2,297"
New Hampshire,01/15/2011,64,60,Home,,2 OT,"1,065"
Albany (NY),01/17/2011,50,52,Home,,-,"1,630"
Boston U.,01/20/2011,62,67,Away,,-,877
Maine,01/22/2011,59,70,Away,,-,"1,948"
Hartford,01/29/2011,69,35,Home,,-,"1,184"
UMBC,01/31/2011,69,59,Home,,-,"1,255"
Boston U.,02/04/2011,49,62,Home,,-,"1,630"
Vermont,02/06/2011,42,65,Away,,-,"2,617"
New Hampshire,02/09/2011,63,56,Away,,-,611
Maine,02/12/2011,71,69,Home,,1 OT,"4,423"
Albany (NY),02/14/2011,43,58,Away,,-,"1,728"
Manhattan,02/19/2011,63,64,Home,,1 OT,"1,630"
Hartford,02/23/2011,79,73,Away,,1 OT,"1,458"
Binghamton,02/27/2011,67,42,Home,,-,"1,630"
Albany (NY),03/05/2011,67,61,Neutral,"West Hartford, CT",-,"1,913"
Vermont,03/06/2011,69,47,Neutral,"West Hartford, CT",-,"2,169"
Boston U.,03/12/2011,54,56,Away,,-,"3,845"
