Huntingdon,11/12/2010,100,59,Home,,-,"1,883"
Alabama,11/15/2010,60,79,Away,,-,"8,939"
Georgia St.,11/19/2010,70,80,Away,,-,"1,296"
UTSA,11/22/2010,70,81,Away,,-,"1,073"
Mississippi St.,11/26/2010,83,92,Away,,1 OT,"4,021"
UAB,11/29/2010,57,78,Home,,-,"1,914"
Arkansas,12/04/2010,60,75,Away,,-,"10,796"
Miami (OH),12/11/2010,73,80,Away,,-,"1,909"
Fla. Atlantic,12/16/2010,77,82,Home,,1 OT,423
Belmont,12/18/2010,63,98,Home,,-,317
Western Mich.,12/21/2010,102,99,Neutral,"Logan, UT",1 OT,"1,221"
Idaho St.,12/22/2010,73,77,Neutral,"Logan, UT",-,"1,223"
Utah St.,12/23/2010,39,80,Away,,-,"8,323"
La.-Lafayette,01/06/2011,91,93,Away,,-,"2,489"
UALR,01/08/2011,73,76,Away,,-,"3,744"
Western Ky.,01/13/2011,82,68,Home,,-,"2,105"
North Texas,01/15/2011,89,81,Home,,-,"1,909"
Middle Tenn.,01/20/2011,51,63,Away,,-,"2,400"
Western Ky.,01/22/2011,58,77,Away,,-,"3,802"
South Ala.,01/27/2011,78,83,Home,,-,"2,151"
La.-Monroe,01/29/2011,74,68,Away,,-,"2,114"
FIU,02/03/2011,80,81,Home,,1 OT,"2,368"
South Ala.,02/10/2011,72,59,Away,,-,"1,966"
Denver,02/12/2011,64,55,Home,,-,"1,352"
Middle Tenn.,02/17/2011,69,65,Home,,1 OT,"2,142"
Arkansas St.,02/19/2011,63,71,Home,,-,"2,221"
Fla. Atlantic,02/24/2011,60,77,Away,,-,"1,834"
FIU,02/26/2011,76,83,Away,,1 OT,"1,499"
North Texas,03/05/2011,69,83,Neutral,"Hot Springs, AR",-,"3,992"
