Randolph,11/12/2010,106,65,Home,,-,"2,584"
UMBC,11/14/2010,94,77,Away,,-,"1,910"
Virginia-Wise,11/16/2010,120,88,Home,,-,"1,129"
Jacksonville St.,11/18/2010,65,55,Home,,-,"1,753"
Southern Va.,11/23/2010,94,78,Home,,-,812
West Virginia,11/27/2010,66,82,Away,"Charleston, WV",-,"12,367"
Central Penn,11/29/2010,151,92,Home,,-,721
Winthrop,12/02/2010,82,88,Home,,1 OT,"1,864"
Presbyterian,12/04/2010,78,92,Home,,-,"2,898"
VCU,12/08/2010,80,86,Away,,-,"6,023"
Longwood,12/11/2010,114,82,Home,,-,"3,212"
Marshall,12/19/2010,70,98,Away,,-,"4,819"
UNC Asheville,12/31/2010,83,72,Away,,-,989
Gardner-Webb,01/02/2011,97,76,Away,,-,300
Coastal Caro.,01/06/2011,87,109,Home,,-,"1,238"
Charleston So.,01/08/2011,80,88,Home,,-,"1,146"
Radford,01/13/2011,105,71,Away,,-,806
High Point,01/15/2011,97,91,Away,,-,"1,519"
Liberty,01/20/2011,82,100,Away,,-,"4,488"
Gardner-Webb,01/27/2011,85,66,Home,,-,"1,053"
UNC Asheville,01/29/2011,87,100,Home,,-,"3,157"
Charleston So.,02/03/2011,90,101,Away,,-,731
Coastal Caro.,02/05/2011,86,99,Away,,-,"1,039"
High Point,02/10/2011,87,74,Home,,-,"1,658"
Radford,02/12/2011,71,58,Home,,-,"3,510"
Liberty,02/15/2011,79,69,Home,,-,"1,836"
Morgan St.,02/19/2011,62,67,Away,,-,"1,354"
Presbyterian,02/24/2011,80,74,Away,,-,648
Winthrop,02/26/2011,89,85,Away,,-,"2,458"
Winthrop,03/01/2011,78,73,Home,,-,"3,217"
Coastal Caro.,03/03/2011,81,89,Away,,-,"1,345"
