McNeese St.,11/13/2010,118,64,Home,,-,"8,914"
Eastern Wash.,11/16/2010,98,72,Home,,-,"8,897"
Virginia,11/22/2010,106,63,Neutral,"Maui, HI",-,"2,400"
Kentucky,11/23/2010,67,74,Neutral,"Maui, HI",-,"2,400"
Michigan St.,11/24/2010,71,76,Neutral,"Maui, HI",-,"2,400"
Long Beach St.,11/30/2010,102,75,Home,,-,"9,223"
Texas Tech,12/04/2010,108,79,Home,,-,"9,044"
Portland,12/06/2010,94,72,Home,,-,"9,425"
Texas A&M,12/11/2010,62,63,Away,,-,"10,296"
San Francisco,12/18/2010,80,52,Home,,-,"9,807"
Nevada,12/22/2010,90,60,Home,,-,"10,000"
Southern California,12/29/2010,73,67,Away,,1 OT,"5,584"
UCLA,12/31/2010,74,63,Away,,-,"9,049"
Oregon,01/06/2011,87,69,Home,,-,"9,692"
Oregon St.,01/08/2011,103,72,Home,,-,"9,671"
Stanford,01/13/2011,56,58,Away,,-,"5,896"
California,01/16/2011,92,71,Away,,-,"8,649"
Arizona,01/20/2011,85,68,Home,,-,"10,000"
Arizona St.,01/22/2011,88,75,Home,,-,"9,905"
Washington St.,01/30/2011,80,87,Away,,-,"10,579"
Oregon St.,02/03/2011,56,68,Away,,-,"5,783"
Oregon,02/05/2011,76,81,Away,,-,"11,925"
California,02/10/2011,109,77,Home,,-,"9,883"
Stanford,02/12/2011,87,76,Home,,-,"10,000"
Arizona St.,02/17/2011,79,62,Away,,-,"7,263"
Arizona,02/19/2011,86,87,Away,,-,"14,619"
Seattle,02/22/2011,95,74,Away,,-,"11,386"
Washington St.,02/27/2011,69,80,Home,,-,"10,000"
UCLA,03/03/2011,70,63,Home,,-,"9,931"
Southern California,03/05/2011,60,62,Home,,-,"10,000"
Washington St.,03/10/2011,89,87,Neutral,"Los Angeles, CA",-,"12,191"
Oregon,03/11/2011,69,51,Neutral,"Los Angeles, CA",-,"13,190"
Arizona,03/12/2011,77,75,Neutral,"Los Angeles, CA",1 OT,"12,074"
Georgia,03/18/2011,68,65,Neutral,"Charlotte, NC",-,"16,852"
North Carolina,03/20/2011,83,86,Neutral,"Charlotte, NC",-,"18,329"
