name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Alexander, Damien",Sr.,2011-12,C,6-8,20,10,47,0.213,6,26,0.231,11,17,0.647,22,1.100,5,0.250,3,0.150,7,0.350,37,1.850,12
"Allen, Brandon",---,2011-12,-,-,19,29,76,0.382,11,36,0.306,12,22,0.545,42,2.211,12,0.632,2,0.105,9,0.474,81,4.263,13
"Banks, Justin",So.,2011-12,C,7-0,21,13,25,0.520,0,0,-,4,6,0.667,68,3.238,2,0.095,10,0.476,1,0.048,30,1.429,16
"Burke, Chris",So.,2011-12,C,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Cantey, Casey",Sr.,2011-12,F,6-5,28,126,303,0.416,28,101,0.277,97,135,0.719,95,3.393,44,1.571,17,0.607,38,1.357,377,13.464,96
"Coleman, Devin",---,2011-12,-,-,1,1,1,1.000,1,1,1.000,0,0,-,3,3.000,0,-,0,-,0,-,3,3.000,1
"Crutcher, Jeremy",So.,2011-12,G,5-8,28,88,254,0.346,27,79,0.342,67,99,0.677,88,3.143,109,3.893,2,0.071,37,1.321,270,9.643,91
"Ellis, Brandon",So.,2011-12,G,6-3,28,69,164,0.421,25,68,0.368,19,27,0.704,63,2.250,14,0.500,2,0.071,10,0.357,182,6.500,31
"Hardy, Eddie",---,2011-12,-,-,22,15,44,0.341,11,39,0.282,2,3,0.667,8,0.364,10,0.455,1,0.045,1,0.045,43,1.955,10
"Hill, Green",---,2011-12,-,-,28,38,93,0.409,4,20,0.200,28,42,0.667,35,1.250,44,1.571,0,-,18,0.643,108,3.857,44
"Hunter, Jerome",So.,2011-12,F,6-10,28,46,88,0.523,1,2,0.500,12,25,0.480,109,3.893,11,0.393,23,0.821,6,0.214,105,3.750,24
"Hutchinson, Quintarius",So.,2011-12,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ingram, Jeremy",---,2011-12,-,-,22,44,128,0.344,24,67,0.358,10,17,0.588,24,1.091,15,0.682,4,0.182,10,0.455,122,5.545,19
"Lanier, Anthony",---,2011-12,-,-,13,5,14,0.357,0,0,-,3,4,0.750,14,1.077,1,0.077,2,0.154,3,0.231,13,1.000,3
"Lee, Marcus",Jr.,2011-12,G,6-1,12,13,28,0.464,1,10,0.100,11,13,0.846,14,1.167,6,0.500,2,0.167,7,0.583,38,3.167,9
"Long, Jose",So.,2011-12,F,6-5,21,10,24,0.417,8,17,0.471,4,9,0.444,10,0.476,3,0.143,0,-,2,0.095,32,1.524,5
"Martin, Reginald",So.,2011-12,F,6-6,28,14,37,0.378,0,1,0.000,8,11,0.727,48,1.714,6,0.214,1,0.036,8,0.286,36,1.286,21
"Mosley, Derrick",---,2011-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Tabb, Demarquelle",Jr.,2011-12,F,6-5,27,108,212,0.509,0,2,0.000,71,125,0.568,206,7.630,32,1.185,50,1.852,21,0.778,287,10.630,53
