name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Billerman, Sean",Fr.,2011-12,G,6-4,6,1,3,0.333,1,2,0.500,0,0,-,1,0.167,1,0.167,0,-,0,-,3,0.500,0
"Deister, Aaron",So.,2011-12,G,6-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ellis, Ella",Jr.,2011-12,F,6-6,30,161,391,0.412,63,176,0.358,140,169,0.828,147,4.900,63,2.100,12,0.400,25,0.833,525,17.500,71
"Felton, Michael",Fr.,2011-12,F,6-7,1,0,0,-,0,0,-,0,0,-,1,1.000,0,-,0,-,0,-,0,-,0
"Gramling, Chris",Fr.,2011-12,G,5-11,15,3,16,0.188,2,14,0.143,0,1,0.000,5,0.333,0,-,0,-,1,0.067,8,0.533,2
"Harris, Pat",Sr.,2011-12,F,6-6,11,0,4,0.000,0,4,0.000,2,2,1.000,3,0.273,1,0.091,0,-,0,-,2,0.182,0
"Harris, Jalen",Fr.,2011-12,G,5-10,13,6,24,0.250,4,11,0.364,6,10,0.600,7,0.538,15,1.154,0,-,6,0.462,22,1.692,17
"Herbeck, Josh",So.,2011-12,G,6-2,30,105,268,0.392,75,187,0.401,25,32,0.781,90,3.000,40,1.333,2,0.067,16,0.533,310,10.333,44
"Hornstein, Brian",So.,2011-12,C,6-10,11,5,9,0.556,0,0,-,0,0,-,5,0.455,0,-,2,0.182,3,0.273,10,0.909,0
"Johnson, Josh",Sr.,2011-12,F,6-5,21,10,19,0.526,0,0,-,1,10,0.100,16,0.762,3,0.143,9,0.429,0,-,21,1.000,8
"Kincade, Cartavious",So.,2011-12,F,6-2,4,3,7,0.429,0,2,0.000,4,6,0.667,9,2.250,1,0.250,0,-,2,0.500,10,2.500,3
"Lenox, Maxwell",Fr.,2011-12,G,6-0,30,65,139,0.468,4,24,0.167,59,88,0.670,105,3.500,96,3.200,5,0.167,38,1.267,193,6.433,83
"Lord, Zach",---,2011-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pancoe, Jason",Jr.,2011-12,G,6-1,15,23,47,0.489,12,29,0.414,6,7,0.857,31,2.067,28,1.867,0,-,12,0.800,64,4.267,16
"Simmons, Julian",Sr.,2011-12,G,5-11,30,115,307,0.375,61,165,0.370,54,70,0.771,78,2.600,23,0.767,0,-,31,1.033,345,11.500,32
"Springer, Jordan",Jr.,2011-12,C,6-6,30,46,81,0.568,0,0,-,42,63,0.667,138,4.600,19,0.633,9,0.300,10,0.333,134,4.467,31
"Stire, Andrew",So.,2011-12,C,6-7,29,45,70,0.643,0,0,-,14,25,0.560,67,2.310,16,0.552,9,0.310,11,0.379,104,3.586,31
"Thornton, Whit",Fr.,2011-12,F,6-7,28,9,26,0.346,0,2,0.000,6,13,0.462,54,1.929,27,0.964,5,0.179,4,0.143,24,0.857,31
"Walker, Matt",Fr.,2011-12,F,6-7,1,1,3,0.333,0,0,-,0,0,-,2,2.000,0,-,0,-,0,-,2,2.000,2
"Washington, Milton",Fr.,2011-12,G,6-0,20,34,65,0.523,2,3,0.667,30,41,0.732,45,2.250,35,1.750,1,0.050,12,0.600,100,5.000,38
"Welker, Chris",---,2011-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Williams, Mo",Fr.,2011-12,G,6-1,30,46,129,0.357,14,52,0.269,44,59,0.746,56,1.867,35,1.167,0,-,14,0.467,150,5.000,42
