name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Abdo, Salah",Sr.,2011-12,G,6-2,5,0,0,-,0,0,-,0,2,0.000,0,-,0,-,0,-,0,-,0,-,0
"Anderson, Ryan",Fr.,2011-12,F,6-8,31,125,289,0.433,23,84,0.274,74,110,0.673,229,7.387,30,0.968,17,0.548,14,0.452,347,11.194,48
"Cahill, John",Sr.,2011-12,G,6-1,27,19,46,0.413,16,39,0.410,6,7,0.857,35,1.296,11,0.407,4,0.148,13,0.481,60,2.222,7
"Cain Carney, John",Fr.,2011-12,F,6-7,10,0,4,0.000,0,0,-,0,0,-,5,0.500,2,0.200,0,-,0,-,0,-,1
"Caudill, Kc",Fr.,2011-12,C,6-10,28,23,48,0.479,0,1,0.000,15,25,0.600,32,1.143,15,0.536,5,0.179,1,0.036,61,2.179,25
"Clifford, Dennis",Fr.,2011-12,C,7-0,31,108,208,0.519,2,10,0.200,59,89,0.663,147,4.742,35,1.129,29,0.935,12,0.387,277,8.935,79
"Daniels, Jordan",Fr.,2011-12,G,5-8,31,70,202,0.347,37,110,0.336,21,28,0.750,50,1.613,82,2.645,4,0.129,23,0.742,198,6.387,62
"Heckmann, Patrick",Fr.,2011-12,G,6-5,22,56,122,0.459,15,43,0.349,56,78,0.718,65,2.955,37,1.682,3,0.136,10,0.455,183,8.318,65
"Humphrey, Matt",Jr.,2011-12,G,6-5,31,108,309,0.350,55,176,0.313,49,80,0.613,104,3.355,50,1.613,10,0.323,34,1.097,320,10.323,61
"Jackson, Lonnie",Fr.,2011-12,G,6-3,31,74,187,0.396,57,143,0.399,52,66,0.788,77,2.484,51,1.645,9,0.290,29,0.935,257,8.290,52
"Kilcullen, Ryan",Fr.,2011-12,F,6-7,8,0,0,-,0,0,-,2,2,1.000,2,0.250,0,-,0,-,0,-,2,0.250,1
"Moton, Gabe",So.,2011-12,G,6-1,29,31,76,0.408,13,34,0.382,8,16,0.500,47,1.621,31,1.069,4,0.138,12,0.414,83,2.862,30
"Odio, Eddie",Fr.,2011-12,F,6-7,24,8,20,0.400,0,3,0.000,5,13,0.385,25,1.042,4,0.167,3,0.125,4,0.167,21,0.875,5
"Rehnquist, Peter",Sr.,2011-12,G,6-4,8,0,1,0.000,0,0,-,0,0,-,2,0.250,0,-,0,-,0,-,0,-,0
"Rubin, Danny",So.,2011-12,G,6-5,19,7,25,0.280,7,18,0.389,0,0,-,13,0.684,7,0.368,1,0.053,0,-,21,1.105,7
"Visockas, Deirunas",Sr.,2011-12,G,6-4,7,0,6,0.000,0,3,0.000,3,4,0.750,3,0.429,3,0.429,0,-,1,0.143,3,0.429,3
