name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Aldridge, Jackson",Fr.,2011-12,G,6-0,35,36,115,0.313,14,56,0.250,45,56,0.804,40,1.143,32,0.914,0,-,12,0.343,131,3.743,55
"Barlow, Alexander",Fr.,2011-12,G,5-11,16,1,6,0.167,0,4,0.000,4,4,1.000,13,0.813,9,0.563,2,0.125,10,0.625,6,0.375,5
"Butcher, Garrett",Sr.,2011-12,F,6-6,28,8,32,0.250,2,8,0.250,6,11,0.545,18,0.643,2,0.071,2,0.071,6,0.214,24,0.857,5
"Clarke, Rotnei",---,2011-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Fromm, Erik",So.,2011-12,F,6-8,36,53,138,0.384,18,53,0.340,19,30,0.633,61,1.694,3,0.083,8,0.222,5,0.139,143,3.972,28
"Hopkins, Chrishawn",So.,2011-12,G,6-1,37,116,314,0.369,35,126,0.278,70,89,0.787,89,2.405,56,1.514,3,0.081,31,0.838,337,9.108,70
"Jones, Roosevelt",Fr.,2011-12,F,6-4,36,112,248,0.452,0,2,0.000,55,110,0.500,215,5.972,59,1.639,16,0.444,35,0.972,279,7.750,53
"Kampen, Elliot",Fr.,2011-12,G,6-5,12,1,4,0.250,1,3,0.333,3,4,0.750,1,0.083,0,-,0,-,0,-,6,0.500,2
"Kampen, Emerson",Jr.,2011-12,C,6-8,19,0,3,0.000,0,1,0.000,0,0,-,4,0.211,3,0.158,1,0.053,0,-,0,-,0
"Marshall, Khyle",So.,2011-12,F,6-6,35,140,253,0.553,1,6,0.167,63,114,0.553,151,4.314,14,0.400,23,0.657,10,0.286,344,9.829,30
"Nored, Ronald",Sr.,2011-12,G,6-0,37,73,203,0.360,20,61,0.328,124,176,0.705,154,4.162,193,5.216,0,-,66,1.784,290,7.838,102
"Smeathers, Andy",Fr.,2011-12,G,6-6,23,15,49,0.306,12,41,0.293,2,3,0.667,13,0.565,3,0.130,0,-,1,0.043,44,1.913,2
"Smith, Andrew",Jr.,2011-12,C,6-11,37,146,278,0.525,19,54,0.352,92,143,0.643,191,5.162,24,0.649,27,0.730,29,0.784,403,10.892,53
"Stigall, Chase",Jr.,2011-12,G,6-3,37,65,217,0.300,50,175,0.286,14,23,0.609,78,2.108,36,0.973,2,0.054,18,0.486,194,5.243,37
"Woods, Kameron",Fr.,2011-12,F,6-8,36,57,154,0.370,11,61,0.180,26,43,0.605,173,4.806,20,0.556,39,1.083,16,0.444,151,4.194,38
