name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Asmus, Mitch",So.,2011-12,F,6-5,7,1,2,0.500,1,1,1.000,0,0,-,1,0.143,0,-,1,0.143,0,-,3,0.429,0
"Benson, Josh",Jr.,2011-12,C,6-9,14,64,105,0.610,0,0,-,24,36,0.667,73,5.214,14,1.000,15,1.071,7,0.500,152,10.857,31
"Dillard, Kevin",Jr.,2011-12,G,6-0,33,143,347,0.412,39,120,0.325,115,139,0.827,89,2.697,198,6.000,13,0.394,47,1.424,440,13.333,94
"Fabrizius, Luke",Sr.,2011-12,F,6-9,30,60,144,0.417,41,106,0.387,11,16,0.688,74,2.467,25,0.833,15,0.500,2,0.067,172,5.733,17
"Gavrilovic, Alex",Fr.,2011-12,F,6-9,30,50,91,0.549,1,5,0.200,20,39,0.513,85,2.833,4,0.133,6,0.200,2,0.067,121,4.033,24
"Hill, Ralph",So.,2011-12,F,6-6,25,13,32,0.406,3,16,0.188,6,10,0.600,47,1.880,11,0.440,1,0.040,6,0.240,35,1.400,6
"Johnson, Chris",Sr.,2011-12,G,6-5,32,131,282,0.465,69,174,0.397,67,79,0.848,204,6.375,42,1.313,19,0.594,23,0.719,398,12.438,51
"Kavanaugh, Matt",Jr.,2011-12,C,6-9,33,113,207,0.546,0,0,-,71,88,0.807,196,5.939,28,0.848,8,0.242,15,0.455,297,9.000,64
"Oliver, Devin",So.,2011-12,F,6-7,33,56,134,0.418,7,33,0.212,43,58,0.741,164,4.970,32,0.970,5,0.152,24,0.727,162,4.909,43
"Parker, Josh",Sr.,2011-12,G,6-0,33,91,240,0.379,46,152,0.303,58,75,0.773,64,1.939,59,1.788,3,0.091,30,0.909,286,8.667,56
"Vonderhaar, Brian",So.,2011-12,G,6-0,7,0,0,-,0,0,-,0,0,-,1,0.143,2,0.286,0,-,0,-,0,-,0
"Williams, Dennis",---,2011-12,-,-,2,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Williams, Paul",Sr.,2011-12,G,6-4,33,92,276,0.333,50,143,0.350,69,83,0.831,85,2.576,57,1.727,3,0.091,18,0.545,303,9.182,41
