name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Anderson, Kyle",Fr.,2011-12,G,6-2,31,97,259,0.375,68,200,0.340,14,21,0.667,90,2.903,24,0.774,8,0.258,15,0.484,276,8.903,33
"Brinkley, Josh",Jr.,2011-12,F,6-6,32,102,193,0.528,0,0,-,75,107,0.701,150,4.688,18,0.563,18,0.563,5,0.156,279,8.719,48
"Clyburn, Kaleb",So.,2011-12,G,5-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Hagins, Jamelle",Jr.,2011-12,F,6-9,32,155,283,0.548,0,0,-,86,129,0.667,354,11.063,28,0.875,95,2.969,21,0.656,396,12.375,73
"King-Davis, Marvin",Fr.,2011-12,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Lewis, Khalid",Fr.,2011-12,G,6-3,32,57,151,0.377,10,41,0.244,42,65,0.646,59,1.844,83,2.594,5,0.156,34,1.063,166,5.188,63
"Madarani, Samer",Sr.,2011-12,G,5-10,8,1,8,0.125,1,8,0.125,1,2,0.500,0,-,2,0.250,0,-,0,-,4,0.500,0
"McCullar, Hakim",Sr.,2011-12,F,6-8,29,15,39,0.385,0,1,0.000,11,20,0.550,41,1.414,7,0.241,8,0.276,0,-,41,1.414,6
"McNeil, Kelvin",Jr.,2011-12,F,6-8,32,26,63,0.413,0,0,-,24,50,0.480,96,3.000,13,0.406,1,0.031,5,0.156,76,2.375,22
"McNulty, Brendan",Jr.,2011-12,G,5-11,6,0,2,0.000,0,1,0.000,0,0,-,1,0.167,0,-,0,-,0,-,0,-,0
"Saddler, Devon",So.,2011-12,G,6-2,32,193,493,0.391,59,190,0.311,158,197,0.802,130,4.063,56,1.750,11,0.344,24,0.750,603,18.844,102
"Savage, Larry",Fr.,2011-12,F,6-5,27,11,36,0.306,1,10,0.100,3,7,0.429,34,1.259,1,0.037,6,0.222,4,0.148,26,0.963,12
"Threatt, Jarvis",Fr.,2011-12,G,6-2,31,87,220,0.395,29,90,0.322,130,160,0.813,122,3.935,70,2.258,8,0.258,41,1.323,333,10.742,49
"Townsville, Will",Jr.,2011-12,G,6-3,6,2,3,0.667,1,2,0.500,0,0,-,2,0.333,0,-,0,-,1,0.167,5,0.833,0
"Williams, Tommy",So.,2011-12,F,6-6,6,0,0,-,0,0,-,1,2,0.500,1,0.167,0,-,0,-,0,-,1,0.167,1
