name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Akomolafe, Tola",Jr.,2011-12,G,6-6,14,17,37,0.459,1,6,0.167,10,12,0.833,50,3.571,8,0.571,6,0.429,10,0.714,45,3.214,18
"Allen, Jeremy",Sr.,2011-12,G,6-4,29,131,329,0.398,52,139,0.374,90,107,0.841,98,3.379,35,1.207,4,0.138,77,2.655,404,13.931,53
"Bell, Cameron",Jr.,2011-12,G,6-3,27,36,90,0.400,5,22,0.227,31,34,0.912,67,2.481,13,0.481,2,0.074,19,0.704,108,4.000,28
"De La Rosa, Joey",Fr.,2011-12,C,6-11,14,6,21,0.286,0,0,-,7,10,0.700,22,1.571,3,0.214,5,0.357,0,-,19,1.357,12
"Dierickx, Gilles",Fr.,2011-12,C,7-0,29,34,70,0.486,0,0,-,8,10,0.800,64,2.207,12,0.414,16,0.552,4,0.138,76,2.621,36
"Ferguson, Dominique",So.,2011-12,F,6-9,29,96,223,0.430,1,21,0.048,60,120,0.500,179,6.172,20,0.690,29,1.000,21,0.724,253,8.724,64
"Hill, Deric",Fr.,2011-12,G,5-9,23,18,47,0.383,1,6,0.167,5,9,0.556,19,0.826,33,1.435,1,0.043,14,0.609,42,1.826,27
"Miro, Steven",Jr.,2011-12,G,6-3,16,5,11,0.455,2,5,0.400,5,8,0.625,9,0.563,4,0.250,0,-,2,0.125,17,1.063,4
"Moore, Brandon",Jr.,2011-12,C,6-10,18,29,63,0.460,0,2,0.000,13,19,0.684,79,4.389,7,0.389,38,2.111,7,0.389,71,3.944,19
"Nunez, Manuel",Jr.,2011-12,G,6-3,17,2,15,0.133,0,7,0.000,0,2,0.000,8,0.471,2,0.118,1,0.059,3,0.176,4,0.235,6
"Pack, Richaud",So.,2011-12,G,6-4,9,5,15,0.333,1,5,0.200,2,2,1.000,11,1.222,2,0.222,0,-,1,0.111,13,1.444,4
"Taylor, Phil",So.,2011-12,G,5-9,29,119,307,0.388,62,156,0.397,92,116,0.793,58,2.000,88,3.034,0,-,28,0.966,392,13.517,77
"Wozniak, Tanner",Fr.,2011-12,G,6-5,23,9,34,0.265,5,27,0.185,1,2,0.500,4,0.174,2,0.087,0,-,0,-,24,1.043,4
"Wright, DeJuan",Sr.,2011-12,G,6-3,22,123,252,0.488,20,51,0.392,102,137,0.745,173,7.864,42,1.909,8,0.364,30,1.364,368,16.727,66
