name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Abrams, Tracy",Fr.,2011-12,G,6-1,32,49,120,0.408,9,35,0.257,29,46,0.630,72,2.250,60,1.875,0,-,14,0.438,136,4.250,50
"Berardini, Kevin",So.,2011-12,G,6-0,7,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Bertrand, Joseph",So.,2011-12,G,6-5,32,92,171,0.538,3,10,0.300,22,30,0.733,86,2.688,43,1.344,5,0.156,11,0.344,209,6.531,37
"Djimde, Ibby",Fr.,2011-12,C,6-8,17,1,6,0.167,0,0,-,3,7,0.429,14,0.824,0,-,0,-,1,0.059,5,0.294,6
"Egwu, Nnanna",Fr.,2011-12,C,6-10,32,27,57,0.474,0,0,-,6,13,0.462,48,1.500,6,0.188,20,0.625,6,0.188,60,1.875,22
"Griffey, Tyler",Jr.,2011-12,F,6-8,30,59,137,0.431,16,56,0.286,12,16,0.750,100,3.333,18,0.600,11,0.367,13,0.433,146,4.867,26
"Head, Crandall",So.,2011-12,G,6-4,9,4,17,0.235,0,5,0.000,1,1,1.000,5,0.556,9,1.000,0,-,5,0.556,9,1.000,9
"Henry, Myke",Fr.,2011-12,G,6-6,22,28,62,0.452,4,25,0.160,10,15,0.667,25,1.136,2,0.091,3,0.136,7,0.318,70,3.182,9
"Langford, Devin",Fr.,2011-12,G,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Leonard, Meyers",So.,2011-12,C,7-0,32,170,291,0.584,1,11,0.091,93,127,0.732,262,8.188,43,1.344,60,1.875,15,0.469,434,13.563,68
"Maniscalco, Sam",Sr.,2011-12,G,6-0,28,56,151,0.371,27,96,0.281,32,39,0.821,53,1.893,64,2.286,0,-,15,0.536,171,6.107,27
"McCamey, Demetri",---,2011-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Paul, Brandon",Jr.,2011-12,G,6-4,32,145,370,0.392,54,162,0.333,125,172,0.727,151,4.719,94,2.938,27,0.844,46,1.438,469,14.656,109
"Richardson, D.J.",Jr.,2011-12,G,6-3,32,130,336,0.387,71,204,0.348,41,53,0.774,96,3.000,55,1.719,5,0.156,27,0.844,372,11.625,44
"Selus, Jean",Sr.,2011-12,G,6-2,9,0,2,0.000,0,1,0.000,0,0,-,1,0.111,1,0.111,0,-,0,-,0,-,0
"Shaw, Mike",Fr.,2011-12,F,6-8,20,6,21,0.286,1,6,0.167,4,10,0.400,37,1.850,5,0.250,1,0.050,2,0.100,17,0.850,13
