name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Archie, Devon",Sr.,2011-12,F,6-9,18,11,18,0.611,0,0,-,2,5,0.400,34,1.889,3,0.167,6,0.333,6,0.333,24,1.333,12
"Basabe, Melsahn",So.,2011-12,F,6-7,35,109,208,0.524,0,0,-,69,105,0.657,168,4.800,11,0.314,36,1.029,18,0.514,287,8.200,45
"Brommer, Andrew",Sr.,2011-12,F,6-9,30,15,24,0.625,0,0,-,12,27,0.444,44,1.467,6,0.200,4,0.133,11,0.367,42,1.400,17
"Cartwright, Bryce",Sr.,2011-12,G,6-1,32,70,199,0.352,4,23,0.174,48,64,0.750,67,2.094,154,4.813,2,0.063,29,0.906,192,6.000,79
"Cox, Cody",So.,2011-12,G,6-4,3,0,0,-,0,0,-,0,0,-,1,0.333,0,-,0,-,0,-,0,-,1
"Denning, Kyle",Fr.,2011-12,G,6-2,4,1,2,0.500,0,1,0.000,2,2,1.000,1,0.250,0,-,0,-,0,-,4,1.000,1
"Gatens, Matt",Sr.,2011-12,G,6-5,35,173,369,0.469,75,183,0.410,111,130,0.854,125,3.571,69,1.971,6,0.171,48,1.371,532,15.200,38
"Marble, Roy Devyn",So.,2011-12,G,6-6,35,139,319,0.436,22,56,0.393,102,141,0.723,133,3.800,126,3.600,14,0.400,53,1.514,402,11.486,61
"May, Eric",Jr.,2011-12,F,6-5,33,56,146,0.384,14,41,0.341,15,24,0.625,79,2.394,33,1.000,7,0.212,21,0.636,141,4.273,31
"McCabe, Zach",So.,2011-12,F,6-7,35,99,200,0.495,22,49,0.449,53,71,0.746,161,4.600,36,1.029,9,0.257,29,0.829,273,7.800,60
"McCarty, Steven",So.,2011-12,G,6-0,8,1,5,0.200,0,1,0.000,0,0,-,1,0.125,0,-,0,-,0,-,2,0.250,2
"Oglesby, Josh",Fr.,2011-12,G,6-5,35,76,191,0.398,45,121,0.372,26,36,0.722,59,1.686,41,1.171,2,0.057,7,0.200,223,6.371,15
"Olaseni, Gabriel",Fr.,2011-12,C,6-10,18,9,19,0.474,0,0,-,8,13,0.615,22,1.222,3,0.167,8,0.444,4,0.222,26,1.444,9
"Rickert, Christopher",Jr.,2011-12,F,6-3,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Stokes, Darius",Fr.,2011-12,F,6-7,12,2,5,0.400,0,0,-,0,0,-,9,0.750,2,0.167,2,0.167,1,0.083,4,0.333,2
"Stubbs, Branden",So.,2011-12,G,6-2,12,5,9,0.556,2,3,0.667,2,2,1.000,3,0.250,6,0.500,0,-,4,0.333,14,1.167,6
"White, Aaron",Fr.,2011-12,F,6-8,35,136,270,0.504,17,61,0.279,100,143,0.699,199,5.686,31,0.886,23,0.657,31,0.886,389,11.114,49
