name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Davis, A.J.",Jr.,2011-12,G,6-6,32,169,387,0.437,53,160,0.331,119,162,0.735,150,4.688,61,1.906,9,0.281,55,1.719,510,15.938,85
"Diouf, Alioune",Jr.,2011-12,G,6-5,28,38,102,0.373,3,18,0.167,20,36,0.556,91,3.250,29,1.036,13,0.464,21,0.750,99,3.536,36
"Flores, Trevon",Jr.,2011-12,F,6-11,5,4,14,0.286,0,0,-,0,0,-,13,2.600,4,0.800,2,0.400,0,-,8,1.600,3
"Goins, Rayshawn",Sr.,2011-12,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Hitchens, Humpty",Sr.,2011-12,G,5-9,30,158,374,0.422,82,211,0.389,49,75,0.653,68,2.267,111,3.700,1,0.033,39,1.300,447,14.900,89
"Hood, Enoch",Fr.,2011-12,F,6-8,32,73,159,0.459,0,0,-,27,49,0.551,108,3.375,16,0.500,14,0.438,8,0.250,173,5.406,26
"Marks, Arman",Fr.,2011-12,G,6-4,31,46,123,0.374,24,65,0.369,27,39,0.692,87,2.806,14,0.452,1,0.032,28,0.903,143,4.613,24
"Moore, Devon",Jr.,2011-12,G,6-4,24,77,181,0.425,6,24,0.250,51,71,0.718,81,3.375,100,4.167,2,0.083,22,0.917,211,8.792,56
"Pierce, Christian",So.,2011-12,G,6-5,13,2,5,0.400,1,2,0.500,0,0,-,2,0.154,0,-,0,-,0,-,5,0.385,1
"Pittman, Keynan",Fr.,2011-12,F,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Semenov, Andrey",Jr.,2011-12,F,6-7,32,112,256,0.438,62,141,0.440,40,62,0.645,152,4.750,59,1.844,30,0.938,17,0.531,326,10.188,43
"Swindle, Gene",Fr.,2011-12,F,6-11,31,34,67,0.507,0,0,-,22,36,0.611,87,2.806,6,0.194,9,0.290,8,0.258,90,2.903,27
"Wells, Julius",Sr.,2011-12,F,6-5,12,35,106,0.330,17,55,0.309,16,27,0.593,67,5.583,28,2.333,2,0.167,15,1.250,103,8.583,22
