name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Andrews, Raymone",Jr.,2011-12,G,6-2,30,55,149,0.369,29,83,0.349,51,70,0.729,59,1.967,67,2.233,7,0.233,26,0.867,190,6.333,40
"Brown, Josh",Sr.,2011-12,G,6-4,30,130,308,0.422,17,61,0.279,48,71,0.676,192,6.400,25,0.833,17,0.567,24,0.800,325,10.833,48
"Brown, Kevin",So.,2011-12,G,6-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Coleby, Kadeem",Jr.,2011-12,C,6-9,31,111,198,0.561,0,0,-,71,142,0.500,151,4.871,25,0.806,73,2.355,12,0.387,293,9.452,69
"Farrington, Scottie",Sr.,2011-12,F,6-7,25,18,37,0.486,0,1,0.000,24,42,0.571,52,2.080,4,0.160,13,0.520,3,0.120,60,2.400,11
"Jackson, Darnell",Jr.,2011-12,G,6-3,26,24,64,0.375,6,19,0.316,11,21,0.524,64,2.462,12,0.462,2,0.077,14,0.538,65,2.500,19
"Mbamalu, Bryant",So.,2011-12,G,6-2,32,86,203,0.424,19,49,0.388,42,63,0.667,109,3.406,32,1.000,1,0.031,25,0.781,233,7.281,53
"McClellan, Darshawn",Sr.,2011-12,F,6-7,31,95,203,0.468,36,92,0.391,69,93,0.742,167,5.387,47,1.516,16,0.516,15,0.484,295,9.516,70
"Payton, Elfrid",Fr.,2011-12,G,6-3,32,77,172,0.448,0,8,0.000,75,133,0.564,114,3.563,97,3.031,9,0.281,37,1.156,229,7.156,96
"Perez, David",Sr.,2011-12,G,6-3,31,32,98,0.327,24,76,0.316,6,7,0.857,20,0.645,9,0.290,0,-,7,0.226,94,3.032,11
"Smith, Kentwan",Fr.,2011-12,F,6-8,28,25,56,0.446,3,11,0.273,9,15,0.600,47,1.679,9,0.321,9,0.321,7,0.250,62,2.214,13
"Thomas, J.J.",So.,2011-12,F,6-5,24,69,165,0.418,13,35,0.371,55,76,0.724,131,5.458,27,1.125,2,0.083,7,0.292,206,8.583,65
"Thompson, Alan-Michael",Jr.,2011-12,G,6-1,32,42,125,0.336,23,83,0.277,17,27,0.630,19,0.594,10,0.313,1,0.031,8,0.250,124,3.875,15
"Williams, Donovan",Fr.,2011-12,G,6-0,9,3,12,0.250,2,7,0.286,5,6,0.833,9,1.000,6,0.667,0,-,3,0.333,13,1.444,4
