name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Aikens, Walt",---,2011-12,-,-,15,1,6,0.167,0,2,0.000,4,10,0.400,4,0.267,0,-,0,-,1,0.067,6,0.400,0
"Assinesi, Kelly",Fr.,2011-12,G,6-0,24,2,7,0.286,1,4,0.250,4,6,0.667,0,-,5,0.208,0,-,1,0.042,9,0.375,5
"Baird, Stephen",So.,2011-12,F,6-8,16,15,33,0.455,4,11,0.364,6,14,0.429,18,1.125,2,0.125,3,0.188,4,0.250,40,2.500,7
"Brown, John",Sr.,2011-12,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Burrus, Antwan",Jr.,2011-12,F,6-6,32,148,280,0.529,1,2,0.500,60,83,0.723,200,6.250,19,0.594,36,1.125,18,0.563,357,11.156,51
"Gielo, Tomasz",Fr.,2011-12,F,6-9,21,30,58,0.517,6,16,0.375,5,6,0.833,42,2.000,8,0.381,5,0.238,4,0.190,71,3.381,17
"Gliedman, Hart",Fr.,2011-12,F,6-5,10,2,8,0.250,0,1,0.000,3,5,0.600,7,0.700,1,0.100,0,-,0,-,7,0.700,2
"Hoyt, Tanner",Sr.,2011-12,G,6-6,7,0,5,0.000,0,2,0.000,0,0,-,1,0.143,0,-,0,-,0,-,0,-,0
"Layer, Ethan",Fr.,2011-12,G,6-1,30,17,47,0.362,15,43,0.349,5,9,0.556,7,0.233,7,0.233,0,-,5,0.167,54,1.800,5
"Minaya, David",Sr.,2011-12,G,6-6,29,141,353,0.399,16,69,0.232,66,88,0.750,113,3.897,34,1.172,0,-,20,0.690,364,12.552,44
"Ogukwe, Sommy",So.,2011-12,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Phillips, Chene",So.,2011-12,G,6-2,26,10,48,0.208,0,9,0.000,19,26,0.731,42,1.615,33,1.269,0,-,13,0.500,39,1.500,23
"Sanders, John Caleb",So.,2011-12,G,6-0,32,130,296,0.439,61,168,0.363,49,73,0.671,87,2.719,44,1.375,1,0.031,23,0.719,370,11.563,51
"Sanders, Jesse",Sr.,2011-12,G,6-3,32,124,255,0.486,16,45,0.356,135,172,0.785,249,7.781,255,7.969,4,0.125,38,1.188,399,12.469,88
"Smith, Andrew",Fr.,2011-12,F,6-9,22,11,16,0.688,0,0,-,3,6,0.500,20,0.909,2,0.091,6,0.273,0,-,25,1.136,8
"Speaks, Tavares",Jr.,2011-12,G,6-4,32,134,296,0.453,5,23,0.217,53,68,0.779,107,3.344,24,0.750,3,0.094,37,1.156,326,10.188,51
"Vander Pol, Joel",Jr.,2011-12,C,6-10,29,46,82,0.561,0,0,-,42,71,0.592,100,3.448,5,0.172,19,0.655,5,0.172,134,4.621,26
