name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Anderson, Larry",Sr.,2011-12,G,6-5,31,133,272,0.489,45,108,0.417,113,163,0.693,152,4.903,92,2.968,10,0.323,57,1.839,424,13.677,66
"Caffey, Mike",Fr.,2011-12,G,6-0,34,71,157,0.452,27,72,0.375,32,45,0.711,95,2.794,76,2.235,4,0.118,25,0.735,201,5.912,43
"Dervisevic, Edis",Sr.,2011-12,F,6-8,27,49,86,0.570,1,4,0.250,14,31,0.452,84,3.111,41,1.519,15,0.556,11,0.407,113,4.185,34
"Djuma, Gatete",---,2011-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ennis, James",Jr.,2011-12,G,6-7,34,117,235,0.498,43,123,0.350,64,90,0.711,141,4.147,88,2.588,26,0.765,54,1.588,341,10.029,69
"Gulley, Kris",So.,2011-12,G,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Hunter, Shaquille",Fr.,2011-12,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jackson, Corey",Sr.,2011-12,G,6-0,15,3,20,0.150,1,8,0.125,4,4,1.000,6,0.400,2,0.133,0,-,2,0.133,11,0.733,8
"Jennings, Dan",Jr.,2011-12,F,6-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"King, Jerramy",Jr.,2011-12,G,5-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pappageorge, Peter",Jr.,2011-12,G,6-0,19,14,31,0.452,8,22,0.364,2,2,1.000,12,0.632,5,0.263,0,-,7,0.368,38,2.000,3
"Phelps, Eugene",Sr.,2011-12,F,6-6,34,127,258,0.492,0,1,0.000,66,144,0.458,191,5.618,29,0.853,19,0.559,17,0.500,320,9.412,54
"Richardson, Kyle",Jr.,2011-12,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Robinson, T.J.",Sr.,2011-12,F,6-8,34,154,294,0.524,0,0,-,100,141,0.709,347,10.206,26,0.765,4,0.118,22,0.647,408,12.000,71
"Shepherd, Nick",Fr.,2011-12,F,6-9,28,14,27,0.519,0,0,-,11,15,0.733,18,0.643,3,0.107,9,0.321,1,0.036,39,1.393,2
"Starkey, Sean",Sr.,2011-12,G,6-4,16,9,27,0.333,2,16,0.125,2,2,1.000,7,0.438,0,-,0,-,0,-,22,1.375,1
"Vantrimpont, Mike",Jr.,2011-12,C,7-0,9,0,2,0.000,0,0,-,2,4,0.500,6,0.667,0,-,2,0.222,0,-,2,0.222,2
"Ware, Casper",Sr.,2011-12,G,5-9,34,189,471,0.401,94,264,0.356,119,150,0.793,82,2.412,114,3.353,3,0.088,46,1.353,591,17.382,81
