name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bowman, Jeremiah",Sr.,2011-12,G,6-2,22,102,214,0.477,9,35,0.257,85,123,0.691,77,3.500,131,5.955,1,0.045,33,1.500,298,13.545,59
"Carey, Tristan",So.,2011-12,G,6-4,31,161,367,0.439,55,156,0.353,39,59,0.661,157,5.065,104,3.355,22,0.710,32,1.032,416,13.419,70
"Carter, Antwan",Sr.,2011-12,C,6-6,31,245,480,0.510,23,75,0.307,88,123,0.715,285,9.194,41,1.323,27,0.871,30,0.968,601,19.387,72
"Dublin, Jeylani",So.,2011-12,F,6-6,4,3,7,0.429,0,0,-,1,2,0.500,2,0.500,0,-,1,0.250,1,0.250,7,1.750,1
"Havenstein, Jeff",So.,2011-12,F,6-8,28,11,32,0.344,0,1,0.000,7,15,0.467,62,2.214,9,0.321,9,0.321,7,0.250,29,1.036,15
"Neil, Durann",Sr.,2011-12,G,6-2,5,10,27,0.370,4,15,0.267,5,13,0.385,7,1.400,13,2.600,0,-,2,0.400,29,5.800,5
"Parker, Mark",So.,2011-12,F,6-7,13,17,37,0.459,14,29,0.483,4,6,0.667,10,0.769,3,0.231,0,-,0,-,52,4.000,7
"Robinson, David",So.,2011-12,G,6-4,24,53,131,0.405,28,72,0.389,50,62,0.806,39,1.625,29,1.208,0,-,6,0.250,184,7.667,16
"Shockley, Stephen",Jr.,2011-12,G,6-0,20,6,18,0.333,6,14,0.429,7,10,0.700,12,0.600,12,0.600,1,0.050,4,0.200,25,1.250,8
"Taylor, Anthony",Fr.,2011-12,G,6-2,22,25,70,0.357,3,9,0.333,19,29,0.655,27,1.227,23,1.045,0,-,9,0.409,72,3.273,43
"Washington, Martiz",Sr.,2011-12,G,6-0,31,115,293,0.392,85,220,0.386,34,49,0.694,76,2.452,79,2.548,0,-,28,0.903,349,11.258,40
"van der Kooij, Jan",Sr.,2011-12,F,6-7,31,78,229,0.341,38,133,0.286,20,40,0.500,206,6.645,37,1.194,7,0.226,11,0.355,214,6.903,68
