name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Alter, Kevin",Fr.,2011-12,G,5-7,16,3,19,0.158,3,16,0.188,8,8,1.000,10,0.625,6,0.375,0,-,2,0.125,17,1.063,6
"Avila, J.J.",So.,2011-12,F,6-7,21,124,255,0.486,21,76,0.276,65,83,0.783,151,7.190,61,2.905,10,0.476,38,1.810,334,15.905,53
"Brickman, Jordan",Jr.,2011-12,G,5-11,29,43,138,0.312,22,83,0.265,12,21,0.571,36,1.241,64,2.207,0,-,20,0.690,120,4.138,49
"Clark, Wes",Fr.,2011-12,G,6-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Connolly, Ted",Sr.,2011-12,C,6-3,19,5,22,0.227,1,10,0.100,2,2,1.000,11,0.579,9,0.474,0,-,8,0.421,13,0.684,7
"Jackson, Donya",Fr.,2011-12,G,6-3,24,32,75,0.427,8,25,0.320,6,13,0.462,36,1.500,6,0.250,2,0.083,5,0.208,78,3.250,20
"Liebert, Jacob",So.,2011-12,G,6-2,5,0,3,0.000,0,0,-,3,4,0.750,5,1.000,1,0.200,0,-,0,-,3,0.600,1
"Loupos, James",So.,2011-12,F,6-7,29,25,63,0.397,1,4,0.250,19,32,0.594,44,1.517,9,0.310,4,0.138,14,0.483,70,2.414,28
"McLaurin, Earl",Fr.,2011-12,G,5-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"McNeil, Tre",Fr.,2011-12,F,6-5,1,1,1,1.000,0,0,-,0,2,0.000,1,1.000,0,-,0,-,0,-,2,2.000,2
"Montgomery, Chall",Fr.,2011-12,G,6-2,11,3,13,0.231,1,9,0.111,8,11,0.727,7,0.636,1,0.091,1,0.091,2,0.182,15,1.364,7
"Roberts, Isaiah",So.,2011-12,G,6-2,29,77,168,0.458,11,34,0.324,42,60,0.700,44,1.517,54,1.862,4,0.138,33,1.138,207,7.138,63
"Smith, Worth",Fr.,2011-12,F,6-5,29,78,176,0.443,20,70,0.286,21,34,0.618,146,5.034,22,0.759,22,0.759,21,0.724,197,6.793,45
"Smith, Carlton",Sr.,2011-12,F,6-6,23,22,39,0.564,0,0,-,12,18,0.667,37,1.609,3,0.130,4,0.174,6,0.261,56,2.435,7
"Smoot, Jared",Fr.,2011-12,C,6-10,18,6,10,0.600,0,0,-,3,9,0.333,30,1.667,0,-,4,0.222,1,0.056,15,0.833,11
"Sugars, Jordan",Sr.,2011-12,G,6-3,29,100,284,0.352,44,141,0.312,87,121,0.719,135,4.655,31,1.069,3,0.103,29,1.000,331,11.414,54
"Venturini, Brandon",Fr.,2011-12,G,6-0,26,27,89,0.303,17,58,0.293,3,8,0.375,26,1.000,20,0.769,0,-,10,0.385,74,2.846,15
"Ward-Adams, Jon",Fr.,2011-12,G,5-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Wyatt, Brennan",So.,2011-12,G,5-10,24,13,40,0.325,4,19,0.211,16,22,0.727,25,1.042,27,1.125,0,-,16,0.667,46,1.917,21
"Wynn, Thurgood",So.,2011-12,G,6-3,24,35,69,0.507,4,14,0.286,26,39,0.667,32,1.333,17,0.708,0,-,13,0.542,100,4.167,22
