name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Allard, Jordan",Jr.,2011-12,F,6-7,32,42,104,0.404,3,15,0.200,25,58,0.431,116,3.625,11,0.344,21,0.656,10,0.313,112,3.500,30
"Anderson, Aaron",So.,2011-12,G,5-10,32,113,232,0.487,37,77,0.481,90,116,0.776,90,2.813,93,2.906,3,0.094,41,1.281,353,11.031,56
"Antwi, Lenny",Fr.,2011-12,G,6-1,28,23,60,0.383,7,27,0.259,11,17,0.647,24,0.857,14,0.500,0,-,8,0.286,64,2.286,14
"Archer, Doug",Jr.,2011-12,F,6-9,24,11,18,0.611,1,4,0.250,4,9,0.444,24,1.000,3,0.125,5,0.208,2,0.083,27,1.125,12
"Benton, Shane",---,2011-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Brekke, Brandon",So.,2011-12,F,6-8,30,116,170,0.682,0,0,-,45,90,0.500,183,6.100,18,0.600,24,0.800,10,0.333,277,9.233,55
"Clausen, Chris",---,2011-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Gentry, Josh",Fr.,2011-12,G,6-4,16,2,18,0.111,0,3,0.000,7,8,0.875,9,0.563,4,0.250,0,-,3,0.188,11,0.688,5
"Goodman, Spencer",Jr.,2011-12,G,6-5,3,4,10,0.400,2,4,0.500,2,3,0.667,4,1.333,1,0.333,1,0.333,0,-,12,4.000,1
"Haugen, Nick",Jr.,2011-12,G,6-2,13,1,8,0.125,1,7,0.143,0,0,-,4,0.308,3,0.231,0,-,0,-,3,0.231,2
"Huff, Troy",So.,2011-12,G,6-4,32,149,377,0.395,23,118,0.195,99,158,0.627,189,5.906,63,1.969,15,0.469,50,1.563,420,13.125,76
"Mathison, Mike",Sr.,2011-12,C,6-10,19,6,13,0.462,1,3,0.333,3,9,0.333,6,0.316,0,-,2,0.105,0,-,16,0.842,7
"Mitchell, Patrick",Sr.,2011-12,F,6-9,31,113,273,0.414,62,168,0.369,35,49,0.714,137,4.419,30,0.968,43,1.387,10,0.323,323,10.419,41
"Schuler, Josh",So.,2011-12,G,6-2,32,54,151,0.358,29,84,0.345,44,57,0.772,46,1.438,53,1.656,3,0.094,13,0.406,181,5.656,28
"Stockdale, Dan",Jr.,2011-12,F,6-8,6,1,2,0.500,0,0,-,1,2,0.500,5,0.833,0,-,0,-,0,-,3,0.500,0
"Webb, Jamal",So.,2011-12,G,6-1,31,108,243,0.444,35,99,0.354,44,73,0.603,135,4.355,108,3.484,10,0.323,57,1.839,295,9.516,101
"Wilmer, Mitch",Jr.,2011-12,C,6-11,29,19,45,0.422,0,0,-,18,30,0.600,56,1.931,0,-,12,0.414,3,0.103,56,1.931,32
