name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Birch, Khem",Fr.,2011-12,C,6-9,10,16,28,0.571,0,0,-,12,22,0.545,50,5.000,0,-,19,1.900,2,0.200,44,4.400,7
"Epps, Isaiah",Fr.,2011-12,G,6-2,19,1,16,0.063,0,12,0.000,0,3,0.000,4,0.211,16,0.842,0,-,3,0.158,2,0.105,5
"Gibbs, Ashton",Sr.,2011-12,G,6-2,37,183,479,0.382,81,235,0.345,94,110,0.855,84,2.270,77,2.081,2,0.054,19,0.514,541,14.622,61
"Gilbert, Malcolm",Fr.,2011-12,C,6-11,19,4,7,0.571,0,0,-,1,2,0.500,15,0.789,0,-,6,0.316,2,0.105,9,0.474,3
"Johnson, Durand",Fr.,2011-12,F,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Johnson, John",Fr.,2011-12,G,6-1,39,53,132,0.402,33,86,0.384,25,30,0.833,25,0.641,46,1.179,0,-,12,0.308,164,4.205,35
"Moore, J.J.",So.,2011-12,F,6-6,38,94,223,0.422,37,112,0.330,61,80,0.763,110,2.895,16,0.421,6,0.158,17,0.447,286,7.526,37
"Nwankwo, Aron",So.,2011-12,F,6-7,5,0,2,0.000,0,0,-,0,0,-,3,0.600,0,-,0,-,0,-,0,-,0
"Patterson, Lamar",So.,2011-12,F,6-5,37,126,285,0.442,41,100,0.410,64,83,0.771,195,5.270,133,3.595,12,0.324,38,1.027,357,9.649,63
"Rivers, Nick",Sr.,2011-12,G,6-2,7,1,7,0.143,1,5,0.200,1,2,0.500,2,0.286,0,-,0,-,0,-,4,0.571,4
"Robinson, Nasir",Sr.,2011-12,F,6-5,39,180,327,0.550,2,11,0.182,51,111,0.459,255,6.538,79,2.026,9,0.231,25,0.641,413,10.590,81
"Taylor, Dante",Jr.,2011-12,F,6-9,37,86,149,0.577,0,1,0.000,43,68,0.632,182,4.919,18,0.486,25,0.676,13,0.351,215,5.811,39
"Woodall, Travon",Jr.,2011-12,G,5-11,28,107,246,0.435,49,127,0.386,64,79,0.810,88,3.143,171,6.107,4,0.143,24,0.857,327,11.679,89
"Wright, Cameron",Fr.,2011-12,G,6-4,37,33,93,0.355,3,18,0.167,14,21,0.667,58,1.568,25,0.676,5,0.135,15,0.405,83,2.243,33
"Zanna, Talib",So.,2011-12,F,6-9,39,97,170,0.571,0,0,-,53,80,0.663,215,5.513,12,0.308,15,0.385,13,0.333,247,6.333,29
