name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Cataldo, Brandon",Fr.,2011-12,C,6-10,15,11,22,0.500,0,0,-,4,8,0.500,24,1.600,1,0.067,4,0.267,1,0.067,26,1.733,7
"Ephrem, Kidus",Fr.,2011-12,F,6-7,7,7,13,0.538,1,5,0.200,1,1,1.000,18,2.571,4,0.571,2,0.286,0,-,16,2.286,1
"Harthun, Michael",Jr.,2011-12,G,6-3,32,101,218,0.463,48,113,0.425,25,36,0.694,72,2.250,49,1.531,2,0.063,9,0.281,275,8.594,37
"Harvey, Michael",Jr.,2011-12,F,6-5,23,10,31,0.323,4,17,0.235,7,12,0.583,26,1.130,8,0.348,3,0.130,4,0.174,31,1.348,13
"King, Joel",Fr.,2011-12,G,6-3,5,0,5,0.000,0,2,0.000,1,2,0.500,4,0.800,2,0.400,0,-,1,0.200,1,0.200,1
"Lozeau, Nate",Sr.,2011-12,C,6-10,32,92,162,0.568,0,0,-,45,63,0.714,153,4.781,3,0.094,13,0.406,7,0.219,229,7.156,31
"McMullan, Lateef",Jr.,2011-12,G,5-11,32,94,259,0.363,37,118,0.314,77,107,0.720,93,2.906,91,2.844,1,0.031,27,0.844,302,9.438,71
"Odum, Charles",Sr.,2011-12,G,6-0,32,192,363,0.529,38,112,0.339,190,228,0.833,124,3.875,82,2.563,7,0.219,29,0.906,612,19.125,94
"Parker, Renado",Jr.,2011-12,F,6-5,25,100,176,0.568,0,0,-,46,72,0.639,127,5.080,14,0.560,12,0.480,10,0.400,246,9.840,41
"Smith, Jerron",Fr.,2011-12,G,6-3,9,10,16,0.625,1,5,0.200,1,6,0.167,9,1.000,4,0.444,2,0.222,1,0.111,22,2.444,2
"Tapscott, Chehales",Sr.,2011-12,F,6-5,32,154,293,0.526,14,45,0.311,129,175,0.737,297,9.281,59,1.844,43,1.344,56,1.750,451,14.094,78
"Whitmore, Martin",Jr.,2011-12,F,6-5,20,14,47,0.298,7,30,0.233,10,13,0.769,15,0.750,3,0.150,0,-,7,0.350,45,2.250,11
"Winston, Gary",Fr.,2011-12,G,6-0,28,61,146,0.418,35,84,0.417,25,38,0.658,46,1.643,50,1.786,1,0.036,18,0.643,182,6.500,38
