name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Carethers, Jalen",Fr.,2011-12,F,6-8,22,12,28,0.429,0,1,0.000,6,10,0.600,19,0.864,1,0.045,6,0.273,3,0.136,30,1.364,5
"Cerrah, Tolga",Jr.,2011-12,F,6-9,30,62,125,0.496,0,0,-,27,60,0.450,100,3.333,14,0.467,9,0.300,14,0.467,151,5.033,42
"Cole, Devin",Jr.,2011-12,G,5-7,3,0,0,-,0,0,-,0,0,-,0,-,1,0.333,0,-,0,-,0,-,1
"Darden, Brian",Fr.,2011-12,G,6-1,11,20,60,0.333,18,41,0.439,15,18,0.833,10,0.909,11,1.000,0,-,3,0.273,73,6.636,13
"Dickerson, Allen",So.,2011-12,G,6-2,13,2,9,0.222,1,7,0.143,2,2,1.000,3,0.231,2,0.154,1,0.077,0,-,7,0.538,5
"Edwards, Johnathan",Sr.,2011-12,F,6-8,22,70,160,0.438,0,4,0.000,50,88,0.568,113,5.136,12,0.545,13,0.591,11,0.500,190,8.636,37
"Green, Javonte",Fr.,2011-12,G,6-4,32,126,270,0.467,6,31,0.194,68,110,0.618,214,6.688,18,0.563,16,0.500,44,1.375,326,10.188,54
"Holcomb, Brandon",Fr.,2011-12,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Mitchell, Daniel",Sr.,2011-12,G,6-3,32,43,128,0.336,11,51,0.216,10,18,0.556,63,1.969,19,0.594,5,0.156,17,0.531,107,3.344,17
"Noreen, Kyle",Fr.,2011-12,G,6-5,31,39,116,0.336,26,81,0.321,7,14,0.500,61,1.968,25,0.806,5,0.161,24,0.774,111,3.581,17
"Price, R.J.",Fr.,2011-12,G,6-0,32,119,347,0.343,62,169,0.367,57,92,0.620,104,3.250,118,3.688,3,0.094,41,1.281,357,11.156,87
"Smith, Jareal",So.,2011-12,G,6-3,32,93,282,0.330,37,133,0.278,75,97,0.773,79,2.469,57,1.781,4,0.125,25,0.781,298,9.313,64
"Smith, Blake",Jr.,2011-12,G,6-4,26,50,123,0.407,16,52,0.308,25,30,0.833,84,3.231,17,0.654,6,0.231,29,1.115,141,5.423,31
"Smith, Chance",Sr.,2011-12,G,6-0,32,46,128,0.359,24,85,0.282,8,12,0.667,48,1.500,48,1.500,0,-,22,0.688,124,3.875,44
"Winegarner, Lukas",So.,2011-12,F,6-9,20,17,43,0.395,1,4,0.250,9,13,0.692,46,2.300,1,0.050,12,0.600,1,0.050,44,2.200,17
