name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Biruta, Gilvydas",So.,2011-12,F,6-8,32,111,247,0.449,7,20,0.350,81,128,0.633,168,5.250,45,1.406,14,0.438,29,0.906,310,9.688,69
"Carroll, Austin",So.,2011-12,G,6-3,10,10,23,0.435,6,15,0.400,2,4,0.500,12,1.200,10,1.000,1,0.100,3,0.300,28,2.800,11
"Carter, Eli",Fr.,2011-12,G,6-2,32,153,374,0.409,55,156,0.353,80,115,0.696,98,3.063,68,2.125,3,0.094,42,1.313,441,13.781,88
"Graham, Tyree",Sr.,2011-12,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jack, Kadeem",Fr.,2011-12,F,6-9,18,9,35,0.257,0,0,-,3,8,0.375,28,1.556,0,-,8,0.444,8,0.444,21,1.167,12
"Johnson, Austin",Jr.,2011-12,F,6-8,31,48,98,0.490,0,0,-,32,47,0.681,66,2.129,12,0.387,5,0.161,12,0.387,128,4.129,40
"Judge, Wally",Jr.,2011-12,F,6-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Kone, Malick",Fr.,2011-12,F,6-5,16,21,44,0.477,2,5,0.400,8,10,0.800,30,1.875,6,0.375,3,0.188,4,0.250,52,3.250,3
"Kuhn, Mike",Sr.,2011-12,G,6-1,11,1,8,0.125,0,6,0.000,0,0,-,1,0.091,2,0.182,0,-,1,0.091,2,0.182,1
"Lewis, Greg",Fr.,2011-12,F,6-9,18,5,17,0.294,0,0,-,0,2,0.000,18,1.000,5,0.278,3,0.167,0,-,10,0.556,13
"Mack, Myles",Fr.,2011-12,G,5-9,32,101,261,0.387,48,142,0.338,63,80,0.788,63,1.969,66,2.063,1,0.031,45,1.406,313,9.781,56
"Miller, Dane",Jr.,2011-12,G,6-6,32,97,194,0.500,11,39,0.282,48,67,0.716,212,6.625,69,2.156,51,1.594,40,1.250,253,7.906,64
"Poole, Mike",So.,2011-12,F,6-5,32,85,212,0.401,11,34,0.324,28,36,0.778,105,3.281,38,1.188,18,0.563,40,1.250,209,6.531,41
"Randall, Derrick",Fr.,2011-12,C,6-8,31,32,57,0.561,0,0,-,14,23,0.609,73,2.355,3,0.097,12,0.387,10,0.323,78,2.516,18
"Rigoglioso, Charlie",---,2011-12,-,-,11,2,5,0.400,0,0,-,0,0,-,5,0.455,4,0.364,0,-,2,0.182,4,0.364,0
"Seagears, Jerome",Fr.,2011-12,G,6-1,32,89,227,0.392,29,87,0.333,39,51,0.765,95,2.969,79,2.469,3,0.094,25,0.781,246,7.688,50
