name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Andreotti, Ricardo",Sr.,2011-12,F,6-8,25,36,70,0.514,0,0,-,21,34,0.618,169,6.760,21,0.840,35,1.400,17,0.680,93,3.720,29
"Bartling, Jared",So.,2011-12,C,6-8,11,0,5,0.000,0,2,0.000,2,8,0.250,20,1.818,3,0.273,1,0.091,1,0.091,2,0.182,8
"Boots, Jordan",Jr.,2011-12,G,6-1,28,50,140,0.357,28,98,0.286,12,15,0.800,30,1.071,38,1.357,0,-,12,0.429,140,5.000,18
"Bos, Brandon",Fr.,2011-12,G,6-1,21,20,58,0.345,12,33,0.364,18,19,0.947,22,1.048,21,1.000,0,-,3,0.143,70,3.333,19
"Brown, Terrell",Fr.,2011-12,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Foley, Jack",Fr.,2011-12,G,6-1,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,1
"Gruis, Trevor",So.,2011-12,C,6-9,28,122,231,0.528,0,0,-,72,116,0.621,188,6.714,40,1.429,21,0.750,23,0.821,316,11.286,66
"Hilliard IV, Nimrod",Fr.,2011-12,G,6-1,18,14,40,0.350,3,10,0.300,16,20,0.800,23,1.278,35,1.944,2,0.111,10,0.556,47,2.611,20
"Krogman, Jake",Fr.,2011-12,G,6-2,1,0,1,0.000,0,0,-,0,2,0.000,1,1.000,0,-,1,1.000,1,1.000,0,-,0
"Krogman, Louie",Sr.,2011-12,G,6-1,28,166,374,0.444,80,209,0.383,59,85,0.694,88,3.143,107,3.821,4,0.143,41,1.464,471,16.821,56
"Mabbutt, Nick",Jr.,2011-12,C,6-10,8,5,17,0.294,4,14,0.286,0,4,0.000,17,2.125,7,0.875,3,0.375,3,0.375,14,1.750,8
"Myles, Juevol",Jr.,2011-12,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Saint-Gelais, Allen",Jr.,2011-12,F,6-7,27,53,116,0.457,13,40,0.325,30,39,0.769,56,2.074,19,0.704,7,0.259,9,0.333,149,5.519,36
"Tecker, Steve",So.,2011-12,G,6-5,28,61,130,0.469,14,33,0.424,20,30,0.667,103,3.679,46,1.643,3,0.107,16,0.571,156,5.571,26
"Westbrook, Charlie",Sr.,2011-12,G,6-4,28,183,394,0.464,37,95,0.389,121,158,0.766,112,4.000,62,2.214,24,0.857,48,1.714,524,18.714,71
