name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Brister, Marcus",Sr.,2011-12,G,6-4,28,88,175,0.503,0,1,0.000,35,77,0.455,116,4.143,103,3.679,1,0.036,18,0.643,211,7.536,84
"House, Zach",Sr.,2011-12,C,7-0,13,7,12,0.583,0,0,-,0,3,0.000,10,0.769,1,0.077,8,0.615,2,0.154,14,1.077,2
"Johnson, Nino",Fr.,2011-12,F,6-8,26,20,34,0.588,0,0,-,16,28,0.571,49,1.885,13,0.500,8,0.308,7,0.269,56,2.154,21
"Jones, Waylon",Sr.,2011-12,F,6-9,10,1,3,0.333,0,0,-,2,5,0.400,7,0.700,0,-,2,0.200,0,-,4,0.400,2
"Niemczyk, Nick",Jr.,2011-12,G,6-1,26,87,215,0.405,46,125,0.368,20,22,0.909,64,2.462,53,2.038,3,0.115,22,0.846,240,9.231,24
"Nutt, Logan",Sr.,2011-12,G,5-11,19,7,19,0.368,1,3,0.333,4,7,0.571,11,0.579,27,1.421,0,-,2,0.105,19,1.000,16
"Nutt, Lucas",So.,2011-12,G,6-1,31,42,120,0.350,22,71,0.310,52,61,0.852,38,1.226,96,3.097,1,0.032,13,0.419,158,5.097,43
"Porter, Michael",So.,2011-12,F,6-6,31,53,96,0.552,3,10,0.300,26,39,0.667,91,2.935,20,0.645,1,0.032,16,0.516,135,4.355,28
"Powell, Leon",Sr.,2011-12,F,6-7,30,126,213,0.592,0,0,-,67,135,0.496,213,7.100,20,0.667,42,1.400,19,0.633,319,10.633,59
"Smith, Marland",Jr.,2011-12,G,6-2,31,123,283,0.435,63,158,0.399,71,91,0.780,94,3.032,76,2.452,5,0.161,28,0.903,380,12.258,49
"Stone, Tyler",So.,2011-12,F,6-8,31,193,364,0.530,8,23,0.348,62,100,0.620,227,7.323,26,0.839,34,1.097,21,0.677,456,14.710,48
"Tolbert, Jacob",---,2011-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Wilford, Corey",Jr.,2011-12,G,6-2,26,61,152,0.401,32,87,0.368,17,21,0.810,35,1.346,21,0.808,3,0.115,7,0.269,171,6.577,20
"Wilkerson, Telvin",Fr.,2011-12,G,6-4,16,11,38,0.289,6,12,0.500,1,3,0.333,21,1.313,6,0.375,0,-,1,0.063,29,1.813,6
