name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Austin, Courtney",Fr.,2011-12,G,6-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Cameron, Brian",Sr.,2011-12,G,6-3,5,2,6,0.333,1,4,0.250,1,2,0.500,2,0.400,2,0.400,1,0.200,1,0.200,6,1.200,1
"Collie, Wade",So.,2011-12,F,6-6,30,48,112,0.429,9,33,0.273,23,33,0.697,87,2.900,38,1.267,1,0.033,20,0.667,128,4.267,28
"Gardner, Matt",Fr.,2011-12,G,6-3,2,3,6,0.500,0,2,0.000,0,0,-,2,1.000,0,-,0,-,1,0.500,6,3.000,1
"Hanks, Cal",So.,2011-12,C,6-10,5,3,7,0.429,0,0,-,9,12,0.750,4,0.800,0,-,1,0.200,0,-,15,3.000,3
"Heuir, Damon",Jr.,2011-12,G,6-2,30,107,265,0.404,33,105,0.314,76,98,0.776,94,3.133,92,3.067,5,0.167,20,0.667,323,10.767,46
"Jeffery, Jaren",So.,2011-12,C,6-8,23,11,23,0.478,0,1,0.000,5,10,0.500,18,0.783,10,0.435,2,0.087,5,0.217,27,1.174,3
"Johnson, Jordan",Jr.,2011-12,G,6-3,31,26,52,0.500,1,5,0.200,18,34,0.529,65,2.097,25,0.806,3,0.097,28,0.903,71,2.290,17
"Jones, Jr., Ray",Sr.,2011-12,G,6-2,31,104,205,0.507,23,66,0.348,77,103,0.748,124,4.000,140,4.516,9,0.290,38,1.226,308,9.935,76
"Koehler, Tyson",Jr.,2011-12,C,6-8,22,22,36,0.611,0,0,-,8,11,0.727,26,1.182,9,0.409,1,0.045,3,0.136,52,2.364,12
"Massey, Matt",Sr.,2011-12,F,6-9,31,106,206,0.515,2,11,0.182,57,73,0.781,123,3.968,39,1.258,7,0.226,10,0.323,271,8.742,53
"Nsenki, Chris",Fr.,2011-12,G,6-2,23,3,16,0.188,0,7,0.000,0,1,0.000,7,0.304,7,0.304,1,0.043,1,0.043,6,0.261,10
"Renfro, John",Fr.,2011-12,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Scott, Julian",Jr.,2011-12,F,6-8,15,15,34,0.441,0,0,-,7,15,0.467,19,1.267,4,0.267,3,0.200,3,0.200,37,2.467,17
"Stevenett, Jackson",Jr.,2011-12,F,6-4,31,166,324,0.512,9,27,0.333,97,128,0.758,176,5.677,47,1.516,22,0.710,21,0.677,438,14.129,64
"Taylor, Ramell",Sr.,2011-12,F,6-5,31,139,302,0.460,4,15,0.267,68,97,0.701,141,4.548,30,0.968,15,0.484,18,0.581,350,11.290,98
