name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Conger, Demitrius",Jr.,2011-12,G,6-6,32,127,253,0.502,28,78,0.359,106,132,0.803,199,6.219,74,2.313,10,0.313,24,0.750,388,12.125,71
"Cook, Da'Quan",Sr.,2011-12,F,6-9,31,76,183,0.415,0,0,-,85,113,0.752,144,4.645,29,0.935,8,0.258,17,0.548,237,7.645,61
"Davenport, Michael",Sr.,2011-12,G,6-4,8,18,48,0.375,3,13,0.231,7,12,0.583,14,1.750,14,1.750,1,0.125,8,1.000,46,5.750,6
"Farrell, Danny",So.,2011-12,G,6-0,3,1,2,0.500,1,1,1.000,0,2,0.000,0,-,0,-,0,-,0,-,3,1.000,2
"Gathers, Jordan",Fr.,2011-12,G,6-3,31,21,62,0.339,5,31,0.161,7,14,0.500,37,1.194,38,1.226,3,0.097,11,0.355,54,1.742,14
"Houseknecht, Jake",Jr.,2011-12,F,6-9,18,6,15,0.400,0,0,-,5,6,0.833,15,0.833,1,0.056,9,0.500,6,0.333,17,0.944,9
"Johnson, Chris",Jr.,2011-12,F,6-5,30,63,152,0.414,15,38,0.395,57,65,0.877,70,2.333,22,0.733,3,0.100,14,0.467,198,6.600,39
"Kloof, Charlon",So.,2011-12,G,6-3,32,66,150,0.440,22,59,0.373,52,79,0.658,67,2.094,87,2.719,7,0.219,27,0.844,206,6.438,49
"Moore, Zach",Sr.,2011-12,F,6-3,4,1,2,0.500,0,0,-,2,2,1.000,1,0.250,0,-,0,-,0,-,4,1.000,0
"Mosley, Eric",Jr.,2011-12,G,5-10,32,66,171,0.386,37,105,0.352,43,51,0.843,69,2.156,53,1.656,4,0.125,21,0.656,212,6.625,44
"Ndoye, Youssou",Fr.,2011-12,C,6-11,31,31,52,0.596,0,0,-,18,31,0.581,73,2.355,2,0.065,17,0.548,7,0.226,80,2.581,24
"Nicholson, Andrew",Sr.,2011-12,F,6-9,32,220,385,0.571,23,53,0.434,128,165,0.776,269,8.406,33,1.031,63,1.969,21,0.656,591,18.469,80
"Simmons, Marquise",Jr.,2011-12,F,6-8,1,0,1,0.000,0,0,-,2,2,1.000,1,1.000,0,-,0,-,0,-,2,2.000,1
"Wright, Matthew",So.,2011-12,G,6-4,32,74,211,0.351,40,126,0.317,28,36,0.778,79,2.469,91,2.844,8,0.250,30,0.938,216,6.750,48
