name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Alvarado, Eduardo",---,2011-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Calloway, Dre",Sr.,2011-12,G,6-0,5,15,39,0.385,0,3,0.000,12,25,0.480,11,2.200,17,3.400,1,0.200,4,0.800,42,8.400,18
"Cannon, Jalen",Fr.,2011-12,F,6-6,30,85,153,0.556,0,0,-,70,118,0.593,265,8.833,22,0.733,16,0.533,17,0.567,240,8.000,24
"Douglas, Kevin",Fr.,2011-12,G,6-5,30,31,81,0.383,7,31,0.226,18,27,0.667,65,2.167,11,0.367,3,0.100,15,0.500,87,2.900,20
"Johnson, Akeem",Jr.,2011-12,F,6-7,28,117,204,0.574,0,0,-,83,119,0.697,143,5.107,26,0.929,28,1.000,20,0.714,317,11.321,58
"Jones, Brent",So.,2011-12,G,5-10,30,80,228,0.351,15,53,0.283,62,86,0.721,84,2.800,118,3.933,2,0.067,42,1.400,237,7.900,100
"Milk, Matt",So.,2011-12,F,6-8,30,26,49,0.531,0,0,-,8,13,0.615,47,1.567,4,0.133,6,0.200,6,0.200,60,2.000,15
"Mockford, Ben",So.,2011-12,G,6-2,30,119,336,0.354,83,240,0.346,33,46,0.717,52,1.733,36,1.200,2,0.067,16,0.533,354,11.800,48
"Newton, Justin",Sr.,2011-12,G,6-0,30,16,43,0.372,3,16,0.188,14,26,0.538,75,2.500,101,3.367,5,0.167,31,1.033,49,1.633,69
"Nichols, Travis",Jr.,2011-12,F,6-4,28,91,207,0.440,46,113,0.407,33,41,0.805,117,4.179,7,0.250,3,0.107,15,0.536,261,9.321,37
"Nierva, Mike",---,2011-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Noel, Jeffrey",---,2011-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Perunicic, Stefan",Sr.,2011-12,G,6-6,29,109,257,0.424,73,172,0.424,45,66,0.682,70,2.414,36,1.241,6,0.207,25,0.862,336,11.586,68
"Santavenere, P.J.",So.,2011-12,G,6-2,24,31,72,0.431,12,42,0.286,11,14,0.786,17,0.708,11,0.458,0,-,11,0.458,85,3.542,13
"Trivic, Milos",So.,2011-12,F,6-8,14,2,5,0.400,0,1,0.000,1,6,0.167,5,0.357,2,0.143,0,-,3,0.214,5,0.357,2
"Ulmer, Lowell",So.,2011-12,F,6-5,15,5,11,0.455,0,1,0.000,1,3,0.333,11,0.733,1,0.067,1,0.067,0,-,11,0.733,3
