name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Blessing, Mario",Fr.,2011-12,G,6-2,34,56,154,0.364,31,88,0.352,16,24,0.667,52,1.529,62,1.824,2,0.059,16,0.471,159,4.676,58
"Cook, Carter",Sr.,2011-12,G,6-5,24,27,57,0.474,6,19,0.316,14,19,0.737,27,1.125,17,0.708,3,0.125,9,0.375,74,3.083,13
"Craig, Torrey",So.,2011-12,F,6-6,34,194,446,0.435,83,238,0.349,88,129,0.682,263,7.735,52,1.529,37,1.088,45,1.324,559,16.441,92
"Elam, Rob",Jr.,2011-12,F,6-6,27,8,21,0.381,0,1,0.000,10,15,0.667,22,0.815,10,0.370,1,0.037,4,0.148,26,0.963,9
"Ford, Jeremy",Jr.,2011-12,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Glenn, Ricardo",So.,2011-12,F,6-8,34,123,235,0.523,0,3,0.000,78,137,0.569,247,7.265,50,1.471,10,0.294,27,0.794,324,9.529,48
"Greene, Ty",Fr.,2011-12,G,6-2,34,109,284,0.384,56,140,0.400,112,144,0.778,100,2.941,81,2.382,4,0.118,52,1.529,386,11.353,63
"Haynes, Bruce",Fr.,2011-12,G,6-2,4,1,4,0.250,0,3,0.000,2,2,1.000,0,-,3,0.750,0,-,2,0.500,4,1.000,0
"Kok, Aru",So.,2011-12,C,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Maxey, Jodd",So.,2011-12,F,6-8,34,106,205,0.517,0,1,0.000,51,85,0.600,164,4.824,33,0.971,47,1.382,56,1.647,263,7.735,61
"Miller, Fred",Fr.,2011-12,G,6-4,34,34,123,0.276,8,42,0.190,6,11,0.545,45,1.324,39,1.147,1,0.029,21,0.618,82,2.412,30
"Olumuyiwa, Babatunde",So.,2011-12,F,6-8,34,81,152,0.533,0,2,0.000,28,54,0.519,109,3.206,22,0.647,35,1.029,14,0.412,190,5.588,42
"Porchea, Shane",So.,2011-12,G,6-5,12,6,17,0.353,0,2,0.000,4,9,0.444,10,0.833,0,-,0,-,1,0.083,16,1.333,2
"Rodgers, Adrian",Fr.,2011-12,G,6-4,33,115,256,0.449,9,38,0.237,30,55,0.545,70,2.121,59,1.788,2,0.061,26,0.788,269,8.152,73
"Rogers, Chalmers",Sr.,2011-12,F,6-7,34,28,70,0.400,14,38,0.368,4,11,0.364,49,1.441,12,0.353,2,0.059,13,0.382,74,2.176,16
