name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Barksdale, C.J.",Fr.,2011-12,F,6-8,32,30,72,0.417,0,0,-,27,36,0.750,86,2.688,9,0.281,8,0.250,8,0.250,87,2.719,14
"Brown, Robert",Fr.,2011-12,G,6-5,33,80,221,0.362,36,113,0.319,28,45,0.622,68,2.061,64,1.939,11,0.333,25,0.758,224,6.788,49
"Chaney, Allan",Jr.,2011-12,F,6-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Davila, Victor",Sr.,2011-12,F,6-8,25,74,130,0.569,0,0,-,40,62,0.645,106,4.240,16,0.640,15,0.600,10,0.400,188,7.520,36
"Eddie, Jarell",So.,2011-12,F,6-7,33,93,219,0.425,54,122,0.443,59,68,0.868,159,4.818,46,1.394,14,0.424,17,0.515,299,9.061,47
"Finney-Smith, Dorian",Fr.,2011-12,F,6-8,33,69,208,0.332,26,71,0.366,45,77,0.584,232,7.030,62,1.879,23,0.697,24,0.727,209,6.333,57
"Garland, Tyrone",So.,2011-12,G,6-1,8,13,26,0.500,2,9,0.222,9,12,0.750,4,0.500,10,1.250,0,-,3,0.375,37,4.625,10
"Green, Erick",Jr.,2011-12,G,6-4,31,170,388,0.438,42,112,0.375,101,122,0.828,101,3.258,88,2.839,4,0.129,41,1.323,483,15.581,46
"Hudson, Dorenzo",Sr.,2011-12,G,6-5,33,118,296,0.399,35,106,0.330,88,108,0.815,94,2.848,51,1.545,3,0.091,22,0.667,359,10.879,62
"Johnston, Will",---,2011-12,-,-,4,1,3,0.333,1,3,0.333,0,0,-,0,-,0,-,0,-,0,-,3,0.750,0
"Racer, Joey",Sr.,2011-12,G,6-1,6,1,8,0.125,0,3,0.000,0,0,-,4,0.667,0,-,0,-,0,-,2,0.333,4
"Raines, Cadarian",So.,2011-12,F,6-9,33,83,161,0.516,0,0,-,29,56,0.518,130,3.939,13,0.394,25,0.758,23,0.697,195,5.909,25
"Rankin, Marquis",Fr.,2011-12,G,6-1,24,22,65,0.338,9,23,0.391,8,13,0.615,26,1.083,27,1.125,3,0.125,10,0.417,61,2.542,28
"Sorensen, Erik",Fr.,2011-12,G,6-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Thompson, Jt",Sr.,2011-12,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"van Zegeren, Joey",Fr.,2011-12,F,6-10,3,0,0,-,0,0,-,0,0,-,0,-,0,-,1,0.333,0,-,0,-,0
