name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Andrews, Andrew",Fr.,2011-12,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Breunig, Martin",Fr.,2011-12,F,6-8,20,13,26,0.500,0,3,0.000,5,7,0.714,22,1.100,3,0.150,4,0.200,2,0.100,31,1.550,12
"Gaddy, Abdul",Jr.,2011-12,G,6-3,35,100,250,0.400,29,88,0.330,56,81,0.691,91,2.600,182,5.200,5,0.143,23,0.657,285,8.143,75
"Gant, Darnell",Sr.,2011-12,F,6-8,35,96,206,0.466,24,72,0.333,35,57,0.614,190,5.429,29,0.829,9,0.257,15,0.429,251,7.171,26
"Hosley, Antoine",---,2011-12,-,-,1,2,2,1.000,1,1,1.000,0,0,-,2,2.000,0,-,0,-,0,-,5,5.000,1
"Jarreau, Jernard",Fr.,2011-12,F,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Kemp, Jr., Shawn",Fr.,2011-12,F,6-9,28,16,29,0.552,0,0,-,12,21,0.571,22,0.786,0,-,16,0.571,1,0.036,44,1.571,11
"N'Diaye, Aziz",Jr.,2011-12,C,7-0,33,105,201,0.522,0,0,-,46,116,0.397,240,7.273,10,0.303,33,1.000,18,0.545,256,7.758,50
"Ross, Terrence",So.,2011-12,G,6-6,35,215,470,0.457,72,194,0.371,72,94,0.766,225,6.429,49,1.400,33,0.943,44,1.257,574,16.400,70
"Seferian-Jenkins, Austin",Fr.,2011-12,F,6-6,17,8,21,0.381,0,0,-,3,8,0.375,36,2.118,2,0.118,2,0.118,3,0.176,19,1.118,1
"Sherrer, Brendan",Sr.,2011-12,F,6-9,8,0,4,0.000,0,1,0.000,3,4,0.750,6,0.750,1,0.125,0,-,0,-,3,0.375,2
"Simmons, Desmond",Fr.,2011-12,F,6-7,35,54,128,0.422,6,27,0.222,33,53,0.623,169,4.829,25,0.714,4,0.114,29,0.829,147,4.200,27
"Stewart, Hikeem",Fr.,2011-12,G,6-2,17,5,17,0.294,1,6,0.167,0,0,-,5,0.294,6,0.353,0,-,3,0.176,11,0.647,4
"Suggs, Scott",Sr.,2011-12,G,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Wegner, Alex",Fr.,2011-12,F,6-7,6,2,8,0.250,2,4,0.500,0,0,-,2,0.333,0,-,0,-,0,-,6,1.000,2
"Wilcox, C.J.",So.,2011-12,G,6-5,32,152,348,0.437,73,181,0.403,78,93,0.839,108,3.375,39,1.219,20,0.625,29,0.906,455,14.219,40
"Wroten, Tony",Fr.,2011-12,G,6-5,35,198,447,0.443,9,56,0.161,154,264,0.583,176,5.029,129,3.686,13,0.371,66,1.886,559,15.971,132
