name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bentz, Jack",Fr.,2011-12,G,6-0,10,0,1,0.000,0,0,-,0,0,-,0,-,1,0.100,0,-,1,0.100,0,-,0
"Bouedo, Arthur",Sr.,2011-12,G,6-4,33,30,66,0.455,14,38,0.368,3,3,1.000,25,0.758,24,0.727,0,-,6,0.182,77,2.333,8
"Cruz, Francisco",Sr.,2011-12,G,6-3,33,146,323,0.452,44,120,0.367,60,80,0.750,97,2.939,73,2.212,2,0.061,26,0.788,396,12.000,64
"Gilmore, Derrious",Jr.,2011-12,G,5-9,24,24,67,0.358,12,34,0.353,14,19,0.737,19,0.792,27,1.125,1,0.042,12,0.500,74,3.083,23
"Grabau, Riley",Fr.,2011-12,G,6-2,21,6,20,0.300,2,13,0.154,5,5,1.000,9,0.429,16,0.762,1,0.048,3,0.143,19,0.905,14
"Luster, JayDee",Sr.,2011-12,G,5-9,33,49,136,0.360,20,61,0.328,56,80,0.700,68,2.061,122,3.697,0,-,29,0.879,174,5.273,52
"Marshall, Tyrone",Fr.,2011-12,F,6-8,9,2,10,0.200,0,0,-,3,5,0.600,7,0.778,0,-,1,0.111,1,0.111,7,0.778,5
"Martinez, Luke",Jr.,2011-12,G,6-4,32,116,308,0.377,81,242,0.335,64,80,0.800,127,3.969,47,1.469,8,0.250,54,1.688,377,11.781,40
"Muojeke, Afam",Sr.,2011-12,F,6-8,12,5,22,0.227,2,15,0.133,14,17,0.824,15,1.250,3,0.250,1,0.083,6,0.500,26,2.167,8
"Nance Jr., Larry",Fr.,2011-12,F,6-7,33,49,106,0.462,3,9,0.333,35,43,0.814,130,3.939,13,0.394,19,0.576,25,0.758,136,4.121,28
"Smith, Shakir",Fr.,2011-12,G,6-1,15,2,19,0.105,1,10,0.100,2,2,1.000,6,0.400,0,-,1,0.067,3,0.200,7,0.467,5
"Waddell, Adam",Sr.,2011-12,C,6-10,33,113,209,0.541,0,1,0.000,92,127,0.724,112,3.394,24,0.727,32,0.970,15,0.455,318,9.636,41
"Washington, Leonard",Jr.,2011-12,F,6-7,33,155,277,0.560,17,56,0.304,100,140,0.714,228,6.909,21,0.636,37,1.121,41,1.242,427,12.939,72
"Watsabaugh, Rob",Sr.,2011-12,F,6-7,31,13,21,0.619,1,3,0.333,3,9,0.333,40,1.290,2,0.065,1,0.032,5,0.161,30,0.968,10
