name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Amos, Landen",---,2011-12,-,-,6,0,0,-,0,0,-,0,0,-,1,0.167,0,-,0,-,0,-,0,-,0
"Cooper, O'Neil",---,2011-12,-,-,6,1,2,0.500,0,0,-,1,2,0.500,0,-,0,-,0,-,2,0.333,3,0.500,1
"Davis, Dee",Fr.,2011-12,G,5-11,36,25,73,0.342,12,41,0.293,6,12,0.500,20,0.556,29,0.806,0,-,22,0.611,68,1.889,27
"Dougan, Greg",---,2011-12,-,-,5,0,0,-,0,0,-,0,2,0.000,1,0.200,0,-,0,-,0,-,0,-,0
"Frease, Kenny",Sr.,2011-12,C,7-0,36,150,294,0.510,0,2,0.000,66,116,0.569,219,6.083,38,1.056,40,1.111,11,0.306,366,10.167,68
"Holloway, Tu",Sr.,2011-12,G,6-0,34,166,387,0.429,45,130,0.346,218,253,0.862,124,3.647,166,4.882,3,0.088,52,1.529,595,17.500,102
"Lyons, Mark",Jr.,2011-12,G,6-1,34,176,414,0.425,58,148,0.392,102,134,0.761,110,3.235,94,2.765,10,0.294,45,1.324,512,15.059,74
"Martin, Justin",Fr.,2011-12,F,6-7,31,34,81,0.420,13,41,0.317,10,28,0.357,78,2.516,16,0.516,9,0.290,16,0.516,91,2.935,19
"McKenzie, Griffin",So.,2011-12,F,6-9,11,1,6,0.167,0,2,0.000,0,0,-,5,0.455,0,-,1,0.091,0,-,2,0.182,1
"Philmore, Isaiah",---,2011-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Redford, Brad",Jr.,2011-12,G,6-0,35,37,96,0.385,28,82,0.341,10,13,0.769,24,0.686,12,0.343,0,-,6,0.171,112,3.200,11
"Robinson, Jeff",Jr.,2011-12,F,6-9,36,55,104,0.529,0,0,-,19,33,0.576,104,2.889,5,0.139,19,0.528,5,0.139,129,3.583,30
"Stenger, Erik",---,2011-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Taylor, Travis",Jr.,2011-12,F,6-7,36,57,127,0.449,0,0,-,49,81,0.605,133,3.694,9,0.250,15,0.417,6,0.167,163,4.528,31
"Walker, Andre",Sr.,2011-12,F,6-7,36,77,163,0.472,0,2,0.000,36,68,0.529,207,5.750,67,1.861,30,0.833,28,0.778,190,5.278,45
"Wells, Dezmine",Fr.,2011-12,G,6-5,32,120,238,0.504,20,53,0.377,52,77,0.675,157,4.906,35,1.094,8,0.250,23,0.719,312,9.750,42
