Marshall,11/11/2011,49,67,Away,,-,"6,009"
Cincinnati,11/13/2011,40,65,Away,,-,"4,624"
Northwestern St.,11/17/2011,60,67,Home,,-,824
Jacksonville St.,11/19/2011,65,78,Away,,-,"1,120"
Evansville,11/29/2011,55,62,Away,,-,"3,462"
FIU,12/03/2011,60,57,Away,,-,"1,439"
Stephen F. Austin,12/10/2011,48,74,Away,,-,"2,247"
Texas Wesleyan,12/11/2011,88,80,Neutral,"Nacogdoches, TX",-,"2,525"
Saint Louis,12/17/2011,35,65,Away,,-,"6,574"
Clemson,12/19/2011,45,70,Away,,-,"7,127"
Detroit,12/22/2011,56,80,Away,,-,"2,189"
Reinhardt,12/29/2011,78,72,Home,,-,426
Grambling,01/03/2012,73,62,Away,,-,"1,257"
Jackson St.,01/05/2012,81,78,Away,,3 OT,650
Mississippi Val.,01/07/2012,60,67,Home,,-,"1,912"
Ark.-Pine Bluff,01/09/2012,62,56,Home,,-,824
Alabama A&M,01/14/2012,53,50,Home,,-,"4,683"
Alcorn St.,01/21/2012,60,61,Away,,-,550
Southern U.,01/23/2012,56,68,Away,,-,"1,477"
Prairie View,01/28/2012,57,64,Home,,-,"1,486"
Texas Southern,01/30/2012,66,59,Home,,1 OT,"4,518"
Mississippi Val.,02/04/2012,58,70,Away,,-,"3,445"
Ark.-Pine Bluff,02/06/2012,61,62,Away,,-,"3,072"
Alabama A&M,02/11/2012,57,47,Away,,-,"5,316"
Alcorn St.,02/18/2012,78,63,Home,,-,"1,224"
Southern U.,02/20/2012,53,55,Home,,-,"1,224"
Texas Southern,02/25/2012,59,67,Away,,-,"1,102"
Prairie View,02/27/2012,59,62,Away,,-,"2,112"
Grambling,03/01/2012,63,61,Home,,-,"1,236"
Jackson St.,03/03/2012,49,46,Home,,-,"2,562"
Ark.-Pine Bluff,03/08/2012,56,60,Neutral,"Garland, TX",1 OT,"6,424"
