Richmond,11/11/2011,56,66,Away,,-,"6,571"
Md.-East. Shore,11/14/2011,62,64,Away,,1 OT,"3,021"
Fla. Atlantic,11/16/2011,62,56,Home,,-,"1,280"
Columbia,11/19/2011,66,58,Away,,-,"1,232"
Quinnipiac,11/22/2011,74,73,Home,,-,717
Cornell,11/27/2011,65,63,Away,,-,"1,119"
Howard,11/29/2011,77,66,Home,,-,"1,027"
UMBC,12/01/2011,69,58,Home,,-,721
Saint Joseph's,12/04/2011,66,60,Home,,-,"1,113"
Hampton,12/07/2011,74,72,Home,,-,723
Saint Francis (PA),12/10/2011,61,66,Away,,-,762
Georgetown,12/17/2011,55,81,Away,,-,"9,964"
Villanova,12/22/2011,52,73,Away,,-,"6,500"
Mt. St. Mary's,12/29/2011,42,49,Away,,-,860
Brown,01/02/2012,70,61,Away,,-,773
Colgate,01/07/2012,82,54,Home,,-,"1,086"
Lehigh,01/11/2012,60,71,Away,,-,998
Holy Cross,01/14/2012,67,54,Home,,-,"2,351"
Navy,01/18/2012,67,60,Away,,-,"1,666"
Army,01/21/2012,67,55,Home,,-,"2,184"
Bucknell,01/25/2012,61,67,Away,,-,"2,867"
Lafayette,01/28/2012,69,61,Away,,-,"2,315"
Colgate,02/04/2012,59,58,Away,,-,761
Lehigh,02/09/2012,71,62,Home,,-,"1,304"
Holy Cross,02/11/2012,52,59,Away,,-,"2,578"
Navy,02/15/2012,69,47,Home,,-,"1,219"
Army,02/18/2012,74,50,Away,,-,"1,078"
Bucknell,02/23/2012,50,55,Home,,-,"1,653"
Lafayette,02/25/2012,76,69,Home,,-,"2,369"
Army,02/29/2012,57,40,Home,,-,"1,002"
Lehigh,03/03/2012,66,85,Away,,-,"1,238"
Buffalo,03/14/2012,61,78,Home,,-,256
