Texas-Dallas,11/19/2011,66,79,Away,,-,753
Mary Hardin-Baylor,11/26/2011,57,93,Away,,-,232
Concordia (TX),11/28/2011,89,98,Away,,-,163
Texas Lutheran,12/01/2011,57,75,Home,,-,515
Schreiner,12/03/2011,70,52,Home,,-,241
Hardin-Simmons,12/08/2011,75,85,Away,,-,407
McMurry,12/10/2011,88,98,Away,,-,500
East Tex. Baptist,12/17/2011,60,90,Away,,-,225
Sul Ross St.,01/05/2012,65,61,Home,,-,402
Howard Payne,01/07/2012,90,64,Home,,-,429
Mississippi Col.,01/12/2012,87,84,Home,,-,331
Louisiana Col.,01/14/2012,77,74,Home,,1 OT,773
East Tex. Baptist,01/16/2012,95,78,Home,,-,387
LeTourneau,01/19/2012,74,58,Away,,-,180
Texas-Tyler,01/21/2012,85,81,Away,,-,456
Texas-Dallas,01/26/2012,58,82,Home,,-,205
Ozarks (AR),01/28/2012,80,65,Home,,-,399
Ozarks (AR),02/04/2012,75,80,Away,,-,275
LeTourneau,02/09/2012,64,57,Home,,-,588
Texas-Tyler,02/11/2012,81,65,Home,,-,412
Mississippi Col.,02/16/2012,68,81,Away,,-,298
Louisiana Col.,02/18/2012,69,74,Away,,-,550
