Gonzaga,11/11/2011,69,77,Away,,-,"6,000"
South Dakota,11/15/2011,70,61,Home,,-,"1,851"
Oregon,11/17/2011,65,73,Away,,-,"6,096"
Hawaii,11/22/2011,89,72,Away,,-,"5,521"
UC Davis,11/27/2011,79,59,Home,,-,"1,563"
Idaho,11/30/2011,73,66,Away,,-,"1,057"
Washington St.,12/03/2011,49,75,Away,,-,"4,002"
Linfield,12/08/2011,104,54,Home,,-,"1,732"
Cal St. Fullerton,12/11/2011,76,91,Away,,-,751
UCLA,12/14/2011,47,60,Away,,-,"4,229"
Pacific Lutheran,12/16/2011,83,72,Home,,-,"1,735"
St. Mary's (CA),12/20/2011,61,77,Away,,-,"2,796"
Montana St.,12/28/2011,82,66,Away,,-,"3,052"
Montana,12/30/2011,71,79,Away,,-,"3,363"
Weber St.,01/05/2012,69,76,Home,,-,"2,376"
Northern Ariz.,01/07/2012,76,59,Home,,-,"2,114"
Sacramento St.,01/12/2012,65,60,Away,,-,508
Northern Colo.,01/14/2012,70,71,Away,,-,"1,397"
Seattle,01/16/2012,78,91,Away,,-,"2,389"
Portland St.,01/21/2012,76,78,Home,,1 OT,"2,857"
Montana,01/26/2012,60,74,Home,,-,"3,512"
Montana St.,01/28/2012,69,52,Home,,-,"3,617"
Northern Ariz.,02/02/2012,74,68,Away,,-,587
Sacramento St.,02/04/2012,71,75,Home,,-,"1,957"
Weber St.,02/11/2012,75,84,Away,,-,"8,361"
Northern Colo.,02/15/2012,79,76,Home,,-,"2,031"
UC Irvine,02/18/2012,73,78,Away,,-,"1,094"
Idaho St.,02/23/2012,85,78,Away,,-,"2,175"
Portland St.,02/25/2012,64,69,Away,,-,"1,305"
Idaho St.,02/28/2012,77,64,Home,,-,"2,852"
Idaho St.,03/03/2012,81,75,Home,,-,"1,523"
Montana,03/06/2012,66,74,Away,,-,"5,563"
