Syracuse,11/12/2011,53,78,Away,,-,"22,906"
Binghamton,11/18/2011,64,49,Home,,-,"2,162"
Loyola Chicago,11/26/2011,50,64,Away,,-,"1,947"
Colgate,11/29/2011,79,69,Home,,-,"1,342"
Lehigh,12/01/2011,60,78,Home,,-,"1,397"
Hampton,12/05/2011,54,53,Home,,-,"1,395"
Manhattan,12/07/2011,47,81,Away,,-,"2,345"
Monmouth,12/10/2011,65,80,Away,,-,"1,810"
Siena,12/12/2011,74,59,Away,,-,"5,476"
St. John's (NY),12/17/2011,50,56,Away,MGS,-,"11,090"
Texas St.,12/22/2011,81,70,Home,,-,921
Georgia Tech,12/29/2011,72,66,Home,,-,"3,200"
Harvard,01/03/2012,60,54,Home,,-,"2,891"
Massachusetts,01/05/2012,76,80,Away,,-,"2,846"
Xavier,01/07/2012,59,67,Home,,-,"3,200"
Saint Joseph's,01/11/2012,62,80,Away,,-,"3,765"
Rhode Island,01/18/2012,66,64,Home,,-,"1,996"
St. Bonaventure,01/21/2012,51,95,Away,,-,"4,119"
Richmond,01/25/2012,58,102,Away,,-,"4,007"
George Washington,01/28/2012,63,58,Home,,-,"2,641"
Temple,02/01/2012,60,78,Away,,-,"4,080"
Charlotte,02/04/2012,62,69,Home,,-,"2,493"
Dayton,02/11/2012,70,72,Home,,1 OT,"3,200"
Duquesne,02/15/2012,67,77,Away,,-,"2,517"
Saint Louis,02/18/2012,46,66,Away,,-,"9,173"
St. Bonaventure,02/22/2012,63,89,Home,,-,"2,306"
La Salle,02/25/2012,67,62,Home,,-,"2,796"
Rhode Island,02/29/2012,58,78,Away,,-,"3,180"
Temple,03/03/2012,60,80,Home,,-,"3,200"
