Mt. St. Mary's,11/11/2011,91,37,Home,,-,"13,834"
Norfolk St.,11/14/2011,99,68,Home,,-,"12,765"
Winthrop,11/18/2011,95,73,Neutral,"St. Thomas, Vir Isl",-,"2,845"
Ole Miss,11/20/2011,96,66,Neutral,"St. Thomas, Vir Isl",-,"2,881"
Norfolk St.,11/21/2011,59,57,Neutral,"St. Thomas, Vir Isl",-,"3,109"
Jacksonville,11/28/2011,88,56,Home,,-,"12,848"
Wisconsin,12/03/2011,61,54,Away,,-,"17,230"
Washington,12/06/2011,79,77,Neutral,"New York, NY",-,"8,231"
Green Bay,12/10/2011,79,61,Home,,-,"14,208"
Northern Colo.,12/17/2011,93,72,Home,,-,"13,593"
LSU,12/19/2011,59,67,Away,,-,"8,630"
Milwaukee,12/22/2011,64,50,Home,,-,"14,917"
Vanderbilt,12/29/2011,57,74,Home,,-,"15,684"
Villanova,01/01/2012,81,77,Home,,-,"14,550"
Georgetown,01/04/2012,70,73,Away,,-,"11,213"
Syracuse,01/07/2012,66,73,Away,,-,"25,412"
St. John's (NY),01/11/2012,83,64,Home,,-,"14,484"
Pittsburgh,01/14/2012,62,57,Home,,-,"18,404"
Louisville,01/16/2012,74,63,Home,,-,"16,688"
Providence,01/21/2012,79,72,Away,,-,"9,469"
South Fla.,01/24/2012,67,47,Home,,-,"13,693"
Villanova,01/28/2012,82,78,Away,,-,"15,878"
Seton Hall,01/31/2012,66,59,Home,,-,"13,828"
Notre Dame,02/04/2012,59,76,Away,,-,"9,149"
DePaul,02/06/2012,89,76,Away,,-,"9,276"
Cincinnati,02/11/2012,95,78,Home,,-,"18,815"
Connecticut,02/18/2012,79,64,Away,,-,"16,294"
Rutgers,02/22/2012,82,65,Home,,-,"14,807"
West Virginia,02/24/2012,61,60,Away,,-,"12,087"
Cincinnati,02/29/2012,61,72,Away,,-,"11,316"
Georgetown,03/03/2012,83,69,Home,,-,"19,087"
Louisville,03/08/2012,71,84,Neutral,"New York, NY",-,"20,057"
BYU,03/15/2012,88,68,Neutral,"Louisville, KY",-,"16,069"
Murray St.,03/17/2012,62,53,Neutral,"Louisville, KY",-,"21,757"
Florida,03/22/2012,58,68,Neutral,"Phoenix, AZ",-,"15,833"
