Auburn,11/11/2011,62,84,Away,,-,"5,225"
Louisiana Col.,11/15/2011,71,52,Home,,-,"1,056"
Georgia St.,11/18/2011,50,69,Away,,-,"1,370"
Dillard,11/22/2011,80,43,Home,,-,657
Sacramento St.,11/26/2011,68,63,Away,,-,644
California,11/28/2011,57,73,Away,,-,"6,407"
La.-Lafayette,12/01/2011,56,78,Away,,-,"3,409"
Bacone,12/10/2011,86,45,Home,,-,828
Louisiana Tech,12/14/2011,58,60,Away,,-,"2,426"
UTEP,12/19/2011,54,69,Away,,-,"5,737"
New Mexico St.,12/21/2011,62,82,Away,,-,"4,844"
Southern Miss.,12/31/2011,56,65,Home,,-,986
A&M-Corpus Christi,01/07/2012,71,69,Away,,-,"1,028"
Lamar,01/11/2012,57,54,Home,,-,"2,158"
Texas St.,01/14/2012,73,82,Away,,-,"1,194"
Southeastern La.,01/18/2012,61,47,Home,,-,782
Northwestern St.,01/21/2012,61,64,Home,,-,"1,535"
Nicholls St.,01/25/2012,60,56,Away,,-,755
Central Ark.,01/29/2012,87,76,Home,,-,936
Sam Houston St.,02/01/2012,67,61,Away,,-,"1,234"
Stephen F. Austin,02/05/2012,66,56,Home,,-,858
Central Ark.,02/11/2012,71,56,Away,,-,"1,043"
Northwestern St.,02/13/2012,70,61,Away,,-,"2,233"
UTSA,02/15/2012,58,54,Home,,-,"1,035"
Southeast Mo. St.,02/18/2012,74,61,Home,,-,"1,144"
Texas-Arlington,02/22/2012,89,93,Home,,-,"1,547"
Nicholls St.,02/25/2012,75,78,Home,,-,"1,852"
Southeastern La.,02/29/2012,57,64,Away,,-,"1,019"
Lamar,03/03/2012,68,78,Away,,-,"5,138"
UTSA,03/07/2012,78,74,Neutral,"Katy, TX",1 OT,"1,303"
Texas-Arlington,03/08/2012,92,72,Neutral,"Katy, TX",-,"1,829"
Lamar,03/10/2012,49,70,Neutral,"Katy, TX",-,"3,593"
Toledo,03/13/2012,63,76,Away,,-,"1,140"
