Villanova,11/11/2011,70,106,Away,,-,"6,500"
Virginia Tech,11/14/2011,46,91,Away,,-,"3,052"
George Mason,11/15/2011,39,71,Neutral,"Blacksburg, VA",-,"3,148"
Albany (NY),11/21/2011,49,85,Neutral,"Fairfax, VA",-,"1,536"
Brown,11/22/2011,71,79,Neutral,"Fairfax, VA",-,"1,384"
Vanderbilt,11/25/2011,73,95,Away,,-,"12,807"
Saint Francis (PA),12/01/2011,49,71,Away,,-,906
Robert Morris,12/03/2011,51,69,Away,,-,"1,344"
Navy,12/06/2011,69,67,Away,,-,"1,682"
Fordham,12/10/2011,80,65,Home,,-,"1,810"
Rutgers,12/12/2011,66,81,Away,,-,"3,114"
Rider,12/22/2011,62,74,Home,,-,"1,490"
Lafayette,12/28/2011,54,69,Away,,-,"1,642"
North Carolina,01/01/2012,65,102,Away,,-,"18,614"
Mt. St. Mary's,01/05/2012,73,59,Home,,-,936
Wagner,01/07/2012,79,89,Home,,-,"1,594"
Harvard,01/10/2012,61,70,Home,,-,"1,809"
St. Francis (NY),01/12/2012,64,81,Away,,-,687
LIU Brooklyn,01/14/2012,86,106,Away,,-,680
Saint Francis (PA),01/19/2012,68,50,Home,,-,"1,502"
Robert Morris,01/21/2012,73,81,Home,,1 OT,"2,170"
Central Conn. St.,01/26/2012,58,56,Away,,1 OT,"2,147"
Bryant,01/28/2012,78,68,Away,,-,"1,012"
Sacred Heart,02/02/2012,63,56,Home,,-,"1,139"
Quinnipiac,02/04/2012,48,71,Home,,-,"2,580"
Fairleigh Dickinson,02/08/2012,75,62,Away,,-,"1,263"
Fairleigh Dickinson,02/11/2012,82,68,Home,,-,"2,170"
Wagner,02/16/2012,67,74,Away,,-,"1,422"
Mt. St. Mary's,02/18/2012,68,66,Away,,-,"2,210"
St. Francis (NY),02/23/2012,79,73,Home,,-,"1,505"
LIU Brooklyn,02/25/2012,106,78,Home,,-,"1,980"
Robert Morris,03/01/2012,68,87,Away,,-,"2,079"
